"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","week","year"
"Arryn Siposs",82019,"P","PHI",1,3,3,4.72,42.67,47.67,15,0,0,0,2,24,61.6,1,52,0,0,33.3,15,1,3,14.16,128,0,143,7,2021
"Andy Lee",1906,"P","ARZ",1,3,3,4.54,51.33,55.33,6,0,0,0,1,1,61.6,1,62,0,0,66.7,12,2,3,13.63,154,0,166,8,2021
"Dustin Colquitt",2316,"P","ATL",1,4,4,4.18,47.5,47.5,,0,0,0,3,2,59.9,2,55,1,0,0,0,0,4,16.71,190,0,190,8,2021
"Brett Kern",4580,"P","TEN",1,4,4,4.19,40.25,47,13.5,0,0,0,1,31,64.7,2,52,1,0,50,27,2,4,16.75,161,0,188,8,2021
"Kevin Huber",5066,"P","CIN",1,4,4,4.15,42.25,46.25,16,0,0,1,2,7,58.8,3,55,0,0,25,16,1,4,16.61,169,0,185,8,2021
"Thomas Morstead",5088,"P","NYJ",1,1,1,4.08,45,45,,0,0,0,1,22,60,0,45,0,0,0,0,0,1,4.08,45,0,45,8,2021
"Bryan Anger",7072,"P","DAL",1,4,4,4.49,43.5,45.25,7,0,0,1,2,9,56.2,1,54,0,0,25,7,1,4,17.97,174,0,181,8,2021
"Johnny Hekker",7252,"P","LA",1,4,4,4.61,44.25,44.5,1,0,0,1,2,26,66.2,1,49,0,0,25,1,1,4,18.45,177,0,178,8,2021
"Sam Martin",7947,"P","DEN",1,3,3,4.4,41,45,12,0,0,0,2,10,65.4,3,48,0,0,33.3,12,1,3,13.21,123,0,135,8,2021
"Tress Way",8358,"P","WAS",1,1,1,4.29,51,66,15,0,0,0,0,32,60,0,66,0,0,100,15,1,1,4.29,51,0,66,8,2021
"Pat O'Donnell",8826,"P","CHI",1,2,2,3.75,28.5,42.5,14,0,0,0,0,6,58.8,0,44,0,0,100,28,2,2,7.49,57,0,85,8,2021
