"player","player_id","position","team_name","player_game_count","declined_penalties","fifty_attempts","fifty_made","fifty_percent","forty_attempts","forty_made","forty_percent","franchise_id","grades_fgep_kicker","one_attempts","one_made","one_percent","pat_attempts","pat_made","pat_percent","penalties","thirty_attempts","thirty_made","thirty_percent","total_attempts","total_made","total_percent","twenty_attempts","twenty_made","twenty_percent","week","year"
"Matt Prater",3471,"K","ARZ",1,0,1,0,0,0,0,,1,59.2,0,0,,2,2,100,0,0,0,,2,1,50,1,1,100,5,2021
"Nick Folk",3794,"K","NE",1,0,2,2,100,0,0,,19,58,0,0,,2,1,50,0,1,1,100,4,4,100,1,1,100,5,2021
"Mason Crosby",3809,"K","GB",1,0,1,0,0,4,3,75,12,26.9,0,0,,2,1,50,0,1,0,0,7,4,57.1,1,1,100,5,2021
"Ryan Succop",5180,"K","TB",1,0,0,0,,1,1,100,30,67.8,0,0,,6,6,100,0,0,0,,1,1,100,0,0,,5,2021
"Graham Gano",5443,"K","NYG",1,0,3,2,66.7,0,0,,21,61.8,0,0,,2,2,100,0,0,0,,3,2,66.7,0,0,,5,2021
"Randy Bullock",7154,"K","TEN",1,0,0,0,,0,0,,31,50.8,0,0,,5,4,80,0,1,1,100,1,1,100,0,0,,5,2021
"Greg Zuerlein",7163,"K","DAL",1,0,0,0,,0,0,,9,67.1,0,0,,5,5,100,0,3,3,100,3,3,100,0,0,,5,2021
"Justin Tucker",7604,"K","BLT",1,0,0,0,,0,0,,3,60.2,0,0,,0,0,,0,0,0,,1,1,100,1,1,100,5,2021
"Dustin Hopkins",7958,"K","WAS",1,0,0,0,,1,1,100,32,65.6,0,0,,1,1,100,0,0,0,,3,3,100,2,2,100,5,2021
"Brandon McManus",8437,"K","DEN",1,0,0,0,,0,0,,10,63.7,0,0,,1,1,100,0,1,1,100,2,2,100,1,1,100,5,2021
"Cairo Santos",8932,"K","CHI",1,0,0,0,,2,2,100,6,69.8,0,0,,2,2,100,0,0,0,,2,2,100,0,0,,5,2021
"Chris Boswell",8990,"K","PIT",1,0,0,0,,2,2,100,25,74.2,0,0,,3,3,100,0,0,0,,2,2,100,0,0,,5,2021
"Cody Parkey",9030,"K","NO",1,0,0,0,,0,0,,20,32.9,0,0,,5,3,60,0,0,0,,0,0,,0,0,,5,2021
"Bradley Pinion",9598,"P","TB",1,0,1,0,0,0,0,,30,58,0,0,,0,0,,0,0,0,,1,0,0,0,0,,5,2021
"Jason Myers",10207,"K","SEA",1,0,0,0,,0,0,,29,47.3,0,0,,2,2,100,0,2,1,50,2,1,50,0,0,,5,2021
"Ka'imi Fairbairn",11161,"K","HST",1,0,1,0,0,0,0,,13,27.8,0,0,,3,1,33.3,0,1,1,100,2,1,50,0,0,,5,2021
"Jake Elliott",11908,"K","PHI",1,0,1,1,100,0,0,,24,78.6,0,0,,1,1,100,0,1,1,100,2,2,100,0,0,,5,2021
"Zane Gonzalez",11979,"K","CAR",1,0,1,1,100,2,2,100,5,73.8,0,0,,1,1,100,0,0,0,,3,3,100,0,0,,5,2021
"Harrison Butker",11988,"K","KC",1,0,1,1,100,0,0,,16,69.6,0,0,,2,2,100,0,1,1,100,2,2,100,0,0,,5,2021
"Younghoe Koo",12042,"K","ATL",1,0,1,1,100,0,0,,2,69.4,0,0,,3,3,100,0,1,1,100,2,2,100,0,0,,5,2021
"Tristan Vizcaino",13076,"K","LAC",1,0,0,0,,0,0,,27,32.9,0,0,,5,3,60,0,0,0,,0,0,,0,0,,5,2021
"Austin Seibert",13701,"K","DET",1,0,1,1,100,1,1,100,11,69.8,0,0,,0,0,,0,1,1,100,3,3,100,0,0,,5,2021
"Greg Joseph",22842,"K","MIN",1,0,2,2,100,1,0,0,18,72.8,0,0,,1,1,100,0,2,2,100,5,4,80,0,0,,5,2021
"Daniel Carlson",28121,"K","LV",1,0,0,0,,0,0,,23,60.3,0,0,,0,0,,0,1,1,100,1,1,100,0,0,,5,2021
"Jason Sanders",29578,"K","MIA",1,0,0,0,,0,0,,17,62.9,0,0,,2,2,100,0,0,0,,1,1,100,1,1,100,5,2021
"Tyler Bass",33010,"K","BUF",1,0,0,0,,0,0,,4,65.7,0,0,,5,5,100,0,1,1,100,1,1,100,0,0,,5,2021
"Chase McLaughlin",33285,"K","CLV",1,0,0,0,,0,0,,8,65.9,0,0,,4,4,100,0,2,2,100,2,2,100,0,0,,5,2021
"Rodrigo Blankenship",34038,"K","IND",1,0,0,0,,2,1,50,14,29.9,0,0,,2,1,50,0,2,1,50,4,2,50,0,0,,5,2021
"Matt Ammendola",34039,"K","NYJ",1,0,0,0,,1,1,100,22,48.9,0,0,,1,0,0,0,1,1,100,2,2,100,0,0,,5,2021
