p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
matthaack_ind_2022_6,ind_2022_6,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,7,7,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cameronjohnston_hou_2022_6,hou_2022_6,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,6,6,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
coreybojorquez_cle_2022_6,cle_2022_6,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,2,2,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
logancooke_jax_2022_6,jax_2022_6,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,3,3,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tommytownsend_kc_2022_6,kc_2022_6,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,3,3,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jakebailey_ne_2022_6,ne_2022_6,jakebailey_ne_2022,ne_2022,jakebailey,33963,p,ne,1,2,2,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jackfox_det_2022_6,det_2022_6,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,2,2,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
michaeldickson_sea_2022_6,sea_2022_6,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,5,5,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ajcoleiii_lv_2022_6,lv_2022_6,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,2,2,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jkscott_lac_2022_6,lac_2022_6,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,1,1,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
corlisswaitman_den_2022_6,den_2022_6,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,5,5,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mitchwishnowsky_sf_2022_6,sf_2022_6,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,2,2,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bradenmann_nyj_2022_6,nyj_2022_6,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,4,4,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
blakegillikin_no_2022_6,no_2022_6,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,4,4,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ryanstonehouse_ten_2022_6,ten_2022_6,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,8,8,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanstout_bal_2022_6,bal_2022_6,jordanstout_bal_2022,bal_2022,jordanstout,57649,p,bal,1,2,2,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
trentongill_chi_2022_6,chi_2022_6,trentongill_chi_2022,chi_2022,trentongill,60295,p,chi,1,2,2,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
pressleyharviniii_pit_2022_6,pit_2022_6,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,4,4,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jamiegillan_nyg_2022_6,nyg_2022_6,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,2,2,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ryanwright_min_2022_6,min_2022_6,ryanwright_min_2022,min_2022,ryanwright,77591,p,min,1,1,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
arrynsiposs_phi_2022_6,phi_2022_6,arrynsiposs_phi_2022,phi_2022,arrynsiposs,82019,p,phi,1,4,4,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jakecamarda_tb_2022_6,tb_2022_6,jakecamarda_tb_2022,tb_2022,jakecamarda,82636,p,tb,1,4,4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
