p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
dariusslay_phi_2022_6,phi_2022_6,dariusslay_phi_2022,phi_2022,dariusslay,7817,cb,phi,1,1,8.4,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jonbostic_was_2022_6,was_2022_6,jonbostic_was_2022,was_2022,jonbostic,7831,lb,was,1,0,-2.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tyrannmathieu_no_2022_6,no_2022_6,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,0,1.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
duronharmon_lv_2022_6,lv_2022_6,duronharmon_lv_2022,lv_2022,duronharmon,7872,s,lv,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
tonyjefferson_nyg_2022_6,nyg_2022_6,tonyjefferson_nyg_2022,nyg_2022,tonyjefferson,8361,s,nyg,1,1,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
chrisbanjo_ari_2022_6,ari_2022_6,chrisbanjo_ari_2022,ari_2022,chrisbanjo,8419,s,ari,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
anthonybarr_dal_2022_6,dal_2022_6,anthonybarr_dal_2022,dal_2022,anthonybarr,8644,lb,dal,1,0,4.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cjmosley_nyj_2022_6,nyj_2022_6,cjmosley_nyj_2022,nyj_2022,cjmosley,8652,lb,nyj,1,2,8.8,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bradleyroby_no_2022_6,no_2022_6,bradleyroby_no_2022,no_2022,bradleyroby,8666,cb,no,1,0,12.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
lamarcusjoyner_nyj_2022_6,nyj_2022_6,lamarcusjoyner_nyj_2022,nyj_2022,lamarcusjoyner,8676,s,nyj,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
christiankirksey_hou_2022_6,hou_2022_6,christiankirksey_hou_2022,hou_2022,christiankirksey,8706,lb,hou,1,2,2.6,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
terrancemitchell_ten_2022_6,ten_2022_6,terrancemitchell_ten_2022,ten_2022,terrancemitchell,8888,cb,ten,1,0,5.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
adrianphillips_ne_2022_6,ne_2022_6,adrianphillips_ne_2022,ne_2022,adrianphillips,9177,s,ne,1,0,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
cjgoodwin_dal_2022_6,dal_2022_6,cjgoodwin_dal_2022,dal_2022,cjgoodwin,9243,cb,dal,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
danielsorensen_no_2022_6,no_2022_6,danielsorensen_no_2022,no_2022,danielsorensen,9253,s,no,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
joethomas_chi_2022_6,chi_2022_6,joethomas_chi_2022,chi_2022,joethomas,9272,lb,chi,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kwaunwilliams_den_2022_6,den_2022_6,kwaunwilliams_den_2022,den_2022,kwaunwilliams,9332,cb,den,1,0,5.5,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
marcuspeters_bal_2022_6,bal_2022_6,marcuspeters_bal_2022,bal_2022,marcuspeters,9451,cb,bal,1,0,9.0,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
shaqthompson_car_2022_6,car_2022_6,shaqthompson_car_2022,car_2022,shaqthompson,9458,lb,car,1,0,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
erickendricks_min_2022_6,min_2022_6,erickendricks_min_2022,min_2022,erickendricks,9478,lb,min,1,2,-3.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
ericrowe_mia_2022_6,mia_2022_6,ericrowe_mia_2022,mia_2022,ericrowe,9480,s,mia,1,0,39.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
denzelperryman_lv_2022_6,lv_2022_6,denzelperryman_lv_2022,lv_2022,denzelperryman,9481,lb,lv,1,0,0.3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jordanhicks_min_2022_6,min_2022_6,jordanhicks_min_2022,min_2022,jordanhicks,9517,lb,min,1,0,2.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
stevennelson_hou_2022_6,hou_2022_6,stevennelson_hou_2022,hou_2022,stevennelson,9531,cb,hou,1,0,3.8,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kwonalexander_nyj_2022_6,nyj_2022_6,kwonalexander_nyj_2022,nyj_2022,kwonalexander,9557,lb,nyj,1,1,4.3,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
damienwilson_car_2022_6,car_2022_6,damienwilson_car_2022,car_2022,damienwilson,9560,lb,car,1,0,5.3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
adrianamos_gb_2022_6,gb_2022_6,adrianamos_gb_2022,gb_2022,adrianamos,9575,s,gb,1,1,-1.5,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
bobbymccain_was_2022_6,was_2022_6,bobbymccain_was_2022,was_2022,bobbymccain,9578,s,was,1,0,31.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
quandrediggs_sea_2022_6,sea_2022_6,quandrediggs_sea_2022,sea_2022,quandrediggs,9633,s,sea,1,0,9.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
nevillehewitt_hou_2022_6,hou_2022_6,nevillehewitt_hou_2022,hou_2022,nevillehewitt,9836,lb,hou,1,0,6.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
deanmarlowe_atl_2022_6,atl_2022_6,deanmarlowe_atl_2022,atl_2022,deanmarlowe,9966,s,atl,1,0,3.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
alexsingleton_den_2022_6,den_2022_6,alexsingleton_den_2022,den_2022,alexsingleton,9994,lb,den,1,1,-2.7,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
brycecallahan_lac_2022_6,lac_2022_6,brycecallahan_lac_2022,lac_2022,brycecallahan,10000,cb,lac,1,0,7.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jalenramsey_lar_2022_6,lar_2022_6,jalenramsey_lar_2022,lar_2022,jalenramsey,10639,cb,lar,1,0,0.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
eliapple_cin_2022_6,cin_2022_6,eliapple_cin_2022,cin_2022,eliapple,10644,cb,cin,1,0,18.2,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
keanuneal_tb_2022_6,tb_2022_6,keanuneal_tb_2022,tb_2022,keanuneal,10651,s,tb,1,0,10.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
williamjacksoniii_was_2022_6,was_2022_6,williamjacksoniii_was_2022,was_2022,williamjacksoniii,10658,cb,was,1,0,6.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
artieburns_sea_2022_6,sea_2022_6,artieburns_sea_2022,sea_2022,artieburns,10659,cb,sea,1,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jaylonsmith_nyg_2022_6,nyg_2022_6,jaylonsmith_nyg_2022,nyg_2022,jaylonsmith,10668,lb,nyg,1,0,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
mylesjack_pit_2022_6,pit_2022_6,mylesjack_pit_2022,pit_2022,mylesjack,10670,lb,pit,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
vonnbell_cin_2022_6,cin_2022_6,vonnbell_cin_2022,cin_2022,vonnbell,10695,s,cin,1,1,19.6,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
jamesbradberry_phi_2022_6,phi_2022_6,jamesbradberry_phi_2022,phi_2022,jamesbradberry,10696,cb,phi,1,0,12.2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kevinbyard_ten_2022_6,ten_2022_6,kevinbyard_ten_2022,ten_2022,kevinbyard,10698,s,ten,1,2,2.5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
kendallfuller_was_2022_6,was_2022_6,kendallfuller_was_2022,was_2022,kendallfuller,10718,cb,was,1,0,4.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2022,6
