team,year,week,home_or_away,team_num,game_id,opponent,date,time,wl,pf,pa,overall_performance,offense,pass,pass_blocking,receiving,rushing,run_blocking,defense,rush_defense,tackling,pass_rush,coverage,special_teams
kansas-city-chiefs,2022,2,,16,23114,Los Angeles Chargers,09/15,8:20pm,W,27,24,67.4,63.2,62.3,40.6,65.9,56.0,67.4,67.4,57.2,51.4,75.8,61.8,55.7
kansas-city-chiefs,2022,3,@,16,23134,Indianapolis Colts,09/25,1:00pm,L,17,20,62.5,68.6,70.9,81.9,65.7,62.7,51.0,60.3,62.4,67.5,60.5,57.4,69.7
los-angeles-chargers,2022,1,,17,23112,Las Vegas Raiders,09/11,4:25pm,W,24,19,70.9,67.7,79.5,64.7,67.5,62.4,53.1,68.5,47.7,37.0,78.4,65.0,76.8
los-angeles-chargers,2022,2,@,17,23114,Kansas City Chiefs,09/15,8:20pm,L,24,27,69.8,69.9,61.8,44.2,73.5,74.4,61.2,60.7,57.6,60.2,70.3,57.0,72.1
los-angeles-chargers,2022,3,,17,23141,Jacksonville Jaguars,09/25,4:05pm,L,10,38,58.3,58.1,61.1,40.8,63.2,64.6,45.1,58.4,72.3,58.5,57.6,48.9,59.4
los-angeles-rams,2022,1,,18,23098,Buffalo Bills,09/08,8:20pm,L,10,31,67.4,62.8,63.1,37.2,65.9,50.0,74.6,69.5,73.5,67.0,68.1,62.1,56.0
los-angeles-rams,2022,2,,18,23122,Atlanta Falcons,09/18,4:05pm,W,31,27,73.9,70.1,63.0,73.2,71.7,63.9,59.8,72.9,77.9,51.8,80.7,54.7,58.8
los-angeles-rams,2022,3,@,18,23144,Arizona Cardinals,09/25,4:25pm,W,20,12,78.0,80.9,82.5,78.2,72.6,68.7,74.8,67.0,68.7,63.4,55.4,68.9,67.2
miami-dolphins,2022,1,,19,23105,New England Patriots,09/11,1:00pm,W,20,7,60.2,64.0,52.8,64.2,67.4,63.3,61.1,55.2,59.4,48.5,56.0,53.9,45.1
miami-dolphins,2022,2,@,19,23118,Baltimore Ravens,09/18,1:00pm,W,42,38,70.2,79.8,83.6,58.0,77.2,71.0,63.6,51.0,72.1,81.4,58.5,38.8,44.5
miami-dolphins,2022,3,,19,23133,Buffalo Bills,09/25,1:00pm,W,21,19,73.5,65.5,80.0,39.8,69.9,54.8,52.3,75.2,84.3,46.0,77.5,62.8,59.5
minnesota-vikings,2022,1,,20,23111,Green Bay Packers,09/11,4:25pm,W,23,7,84.2,78.9,83.4,56.0,70.2,76.5,70.6,76.7,58.0,76.5,77.3,74.7,63.5
minnesota-vikings,2022,2,@,20,23130,Philadelphia Eagles,09/19,8:30pm,L,7,24,55.5,56.1,51.7,58.9,56.9,68.2,53.6,52.4,62.8,60.0,60.2,44.0,80.8
