p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent,week,year,plyr_number
genosmith_sea_2022_7,sea_2022_7,genosmith_sea_2022,sea_2022,genosmith,7820,qb,sea,1,12,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bakermayfield_car_2022_7,car_2022_7,bakermayfield_car_2022,car_2022,bakermayfield,46518,qb,car,1,12,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
derekcarr_lv_2022_7,lv_2022_7,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,11,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
patrickmahomes_kc_2022_7,kc_2022_7,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,11,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kirkcousins_min_2022_7,min_2022_7,kirkcousins_min_2022,min_2022,kirkcousins,7102,qb,min,1,11,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
davismills_hou_2022_7,hou_2022_7,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ryantannehill_ten_2022_7,ten_2022_7,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
marcusmariota_atl_2022_7,atl_2022_7,marcusmariota_atl_2022,atl_2022,marcusmariota,9435,qb,atl,1,10,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
macjones_ne_2022_7,ne_2022_7,macjones_ne_2022,ne_2022,macjones,60323,qb,ne,1,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
russellwilson_den_2022_7,den_2022_7,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
