p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year,plyr_number
clelinferrell_lv_2022_7,lv_2022_7,clelinferrell_lv_2022,lv_2022,clelinferrell,25955,ed,lv,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
maxxcrosby_lv_2022_7,lv_2022_7,maxxcrosby_lv_2022,lv_2022,maxxcrosby,26316,ed,lv,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
siranneal_buf_2022_7,buf_2022_7,siranneal_buf_2022,buf_2022,siranneal,27130,cb,buf,1,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joshuche_ne_2022_7,ne_2022_7,joshuche_ne_2022,ne_2022,joshuche,27379,ed,ne,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bilalnichols_lv_2022_7,lv_2022_7,bilalnichols_lv_2022,lv_2022,bilalnichols,28451,di,lv,1,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
deshonelliott_det_2022_7,det_2022_7,deshonelliott_det_2022,det_2022,deshonelliott,28854,s,det,1,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
davidlong_ten_2022_7,ten_2022_7,davidlong_ten_2022,ten_2022,davidlong,29367,lb,ten,1,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
robertrochell_lar_2022_7,lar_2022_7,robertrochell_lar_2022,lar_2022,robertrochell,33693,cb,lar,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ericjohnson_ind_2022_7,ind_2022_7,ericjohnson_ind_2022,ind_2022,ericjohnson,33698,di,ind,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mikehughes_det_2022_7,det_2022_7,mikehughes_det_2022,det_2022,mikehughes,34057,cb,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
zackbaun_no_2022_7,no_2022_7,zackbaun_no_2022,no_2022,zackbaun,34632,lb,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
johnathanabram_lv_2022_7,lv_2022_7,johnathanabram_lv_2022,lv_2022,johnathanabram,34646,s,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
akeemdavisgaither_cin_2022_7,cin_2022_7,akeemdavisgaither_cin_2022,cin_2022,akeemdavisgaither,34788,lb,cin,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
austinbryant_det_2022_7,det_2022_7,austinbryant_det_2022,det_2022,austinbryant,36248,ed,det,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
matthewadams_chi_2022_7,chi_2022_7,matthewadams_chi_2022,chi_2022,matthewadams,38526,lb,chi,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ericwilson_gb_2022_7,gb_2022_7,ericwilson_gb_2022,gb_2022,ericwilson,38587,lb,gb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
andrewdowell_no_2022_7,no_2022_7,andrewdowell_no_2022,no_2022,andrewdowell,38956,lb,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
justinlayne_nyg_2022_7,nyg_2022_7,justinlayne_nyg_2022,nyg_2022,justinlayne,40160,cb,nyg,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
alohigilman_lac_2022_7,lac_2022_7,alohigilman_lac_2022,lac_2022,alohigilman,41662,s,lac,1,1,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
divinedeablo_lv_2022_7,lv_2022_7,divinedeablo_lv_2022,lv_2022,divinedeablo,42208,lb,lv,1,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jonathankongbo_den_2022_7,den_2022_7,jonathankongbo_den_2022,den_2022,jonathankongbo,42433,ed,den,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rashadweaver_ten_2022_7,ten_2022_7,rashadweaver_ten_2022,ten_2022,rashadweaver,42495,ed,ten,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
shaunbradley_phi_2022_7,phi_2022_7,shaunbradley_phi_2022,phi_2022,shaunbradley,42632,lb,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nickbosa_sf_2022_7,sf_2022_7,nickbosa_sf_2022,sf_2022,nickbosa,42741,ed,sf,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
chaselucas_det_2022_7,det_2022_7,chaselucas_det_2022,det_2022,chaselucas,42833,s,det,1,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kristianfulton_ten_2022_7,ten_2022_7,kristianfulton_ten_2022,ten_2022,kristianfulton,42894,cb,ten,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jakehansen_hou_2022_7,hou_2022_7,jakehansen_hou_2022,hou_2022,jakehansen,43645,lb,hou,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jefferysimmons_ten_2022_7,ten_2022_7,jefferysimmons_ten_2022,ten_2022,jefferysimmons,43742,di,ten,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
benitojones_det_2022_7,det_2022_7,benitojones_det_2022,det_2022,benitojones,44035,di,det,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
adetokunboogundeji_atl_2022_7,atl_2022_7,adetokunboogundeji_atl_2022,atl_2022,adetokunboogundeji,44047,ed,atl,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
julianokwara_det_2022_7,det_2022_7,julianokwara_det_2022,det_2022,julianokwara,44152,ed,det,1,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
naquanjones_ten_2022_7,ten_2022_7,naquanjones_ten_2022,ten_2022,naquanjones,44363,di,ten,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
saivionsmith_det_2022_7,det_2022_7,saivionsmith_det_2022,det_2022,saivionsmith,44429,cb,det,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rossblacklock_min_2022_7,min_2022_7,rossblacklock_min_2022,min_2022,rossblacklock,44526,di,min,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
djwonnum_min_2022_7,min_2022_7,djwonnum_min_2022,min_2022,djwonnum,44550,ed,min,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
terrellburgess_lar_2022_7,lar_2022_7,terrellburgess_lar_2022,lar_2022,terrellburgess,45255,s,lar,1,2,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
eyiomauwazurike_den_2022_7,den_2022_7,eyiomauwazurike_den_2022,den_2022,eyiomauwazurike,45414,di,den,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
zechmcphearson_phi_2022_7,phi_2022_7,zechmcphearson_phi_2022,phi_2022,zechmcphearson,45464,cb,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
roylopez_hou_2022_7,hou_2022_7,roylopez_hou_2022,hou_2022,roylopez,48676,di,hou,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rasheemgreen_hou_2022_7,hou_2022_7,rasheemgreen_hou_2022,hou_2022,rasheemgreen,48731,ed,hou,1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kevinstrongjr_ten_2022_7,ten_2022_7,kevinstrongjr_ten_2022,ten_2022,kevinstrongjr,48981,di,ten,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
kendalvickers_lv_2022_7,lv_2022_7,kendalvickers_lv_2022,lv_2022,kendalvickers,48993,di,lv,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
khalekehudson_was_2022_7,was_2022_7,khalekehudson_was_2022,was_2022,khalekehudson,49073,lb,was,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jakegervase_lar_2022_7,lar_2022_7,jakegervase_lar_2022,lar_2022,jakegervase,49103,lb,lar,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
dallinleavitt_gb_2022_7,gb_2022_7,dallinleavitt_gb_2022,gb_2022,dallinleavitt,49120,s,gb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ronnieharrison_cle_2022_7,cle_2022_7,ronnieharrison_cle_2022,cle_2022,ronnieharrison,49206,s,cle,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rashadfenton_kc_2022_7,kc_2022_7,rashadfenton_kc_2022,kc_2022,rashadfenton,49329,cb,kc,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jaylonjones_chi_2022_7,chi_2022_7,jaylonjones_chi_2022,chi_2022,jaylonjones,49374,cb,chi,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
cameronlewis_buf_2022_7,buf_2022_7,cameronlewis_buf_2022,buf_2022,cameronlewis,49395,s,buf,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
nickmccloud_nyg_2022_7,nyg_2022_7,nickmccloud_nyg_2022,nyg_2022,nickmccloud,49535,cb,nyg,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
denzelward_cle_2022_7,cle_2022_7,denzelward_cle_2022,cle_2022,denzelward,49558,cb,cle,1,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ashtyndavis_nyj_2022_7,nyj_2022_7,ashtyndavis_nyj_2022,nyj_2022,ashtyndavis,49560,s,nyj,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
rockyasin_lv_2022_7,lv_2022_7,rockyasin_lv_2022,lv_2022,rockyasin,49564,cb,lv,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
christianrozeboom_lar_2022_7,lar_2022_7,christianrozeboom_lar_2022,lar_2022,christianrozeboom,49862,lb,lar,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ogbonniaokoronkwo_hou_2022_7,hou_2022_7,ogbonniaokoronkwo_hou_2022,hou_2022,ogbonniaokoronkwo,50130,ed,hou,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jeremyreaves_was_2022_7,was_2022_7,jeremyreaves_was_2022,was_2022,jeremyreaves,50406,s,was,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joseyjewell_den_2022_7,den_2022_7,joseyjewell_den_2022,den_2022,joseyjewell,50720,lb,den,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tyreldodson_buf_2022_7,buf_2022_7,tyreldodson_buf_2022,buf_2022,tyreldodson,51045,lb,buf,1,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
andrechachere_phi_2022_7,phi_2022_7,andrechachere_phi_2022,phi_2022,andrechachere,51194,s,phi,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
joshuakalu_ten_2022_7,ten_2022_7,joshuakalu_ten_2022,ten_2022,joshuakalu,51203,s,ten,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
minkahfitzpatrick_pit_2022_7,pit_2022_7,minkahfitzpatrick_pit_2022,pit_2022,minkahfitzpatrick,51206,s,pit,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mikeedwards_tb_2022_7,tb_2022_7,mikeedwards_tb_2022,tb_2022,mikeedwards,51282,s,tb,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
seanchandler_car_2022_7,car_2022_7,seanchandler_car_2022,car_2022,seanchandler,51315,s,car,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
willharris_det_2022_7,det_2022_7,willharris_det_2022,det_2022,willharris,51336,cb,det,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
marcellharris_nyj_2022_7,nyj_2022_7,marcellharris_nyj_2022,nyj_2022,marcellharris,51408,lb,nyj,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jaquanjohnson_buf_2022_7,buf_2022_7,jaquanjohnson_buf_2022,buf_2022,jaquanjohnson,51433,s,buf,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jtgray_no_2022_7,no_2022_7,jtgray_no_2022,no_2022,jtgray,51495,s,no,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tarronjackson_phi_2022_7,phi_2022_7,tarronjackson_phi_2022,phi_2022,tarronjackson,54410,ed,phi,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
malcolmkoonce_lv_2022_7,lv_2022_7,malcolmkoonce_lv_2022,lv_2022,malcolmkoonce,55015,ed,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
amikrobertson_lv_2022_7,lv_2022_7,amikrobertson_lv_2022,lv_2022,amikrobertson,55619,cb,lv,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
josiahscott_phi_2022_7,phi_2022_7,josiahscott_phi_2022,phi_2022,josiahscott,55634,cb,phi,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
