p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
logancooke_jax_2022_7,jax_2022_7,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,3,3,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
tommytownsend_kc_2022_7,kc_2022_7,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,3,3,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jakebailey_ne_2022_7,ne_2022_7,jakebailey_ne_2022,ne_2022,jakebailey,33963,p,ne,1,4,4,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
michaeldickson_sea_2022_7,sea_2022_7,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,6,6,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jkscott_lac_2022_7,lac_2022_7,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,4,4,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
corlisswaitman_den_2022_7,den_2022_7,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,7,7,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
mitchwishnowsky_sf_2022_7,sf_2022_7,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,3,3,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
bradenmann_nyj_2022_7,nyj_2022_7,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,5,5,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
blakegillikin_no_2022_7,no_2022_7,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,3,3,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jordanstout_bal_2022_7,bal_2022_7,jordanstout_bal_2022,bal_2022,jordanstout,57649,p,bal,1,2,2,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
trentongill_chi_2022_7,chi_2022_7,trentongill_chi_2022,chi_2022,trentongill,60295,p,chi,1,4,4,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
pressleyharviniii_pit_2022_7,pit_2022_7,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,5,5,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jamiegillan_nyg_2022_7,nyg_2022_7,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,4,4,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
ryanwright_min_2022_7,min_2022_7,ryanwright_min_2022,min_2022,ryanwright,77591,p,min,1,10,10,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
arrynsiposs_phi_2022_7,phi_2022_7,arrynsiposs_phi_2022,phi_2022,arrynsiposs,82019,p,phi,1,4,4,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
jakecamarda_tb_2022_7,tb_2022_7,jakecamarda_tb_2022,tb_2022,jakecamarda,82636,p,tb,1,5,5,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2022,7
