p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
trevonmoehrig_lv_2022_9,lv_2022_9,trevonmoehrig_lv_2022,lv_2022,trevonmoehrig,77847,s,lv,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,9,2022,9
adrianphillips_ne_2022_9,ne_2022_9,adrianphillips_ne_2022,ne_2022,adrianphillips,9177,s,ne,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,9,2022,9
kennymooreii_ind_2022_9,ind_2022_9,kennymooreii_ind_2022,ind_2022,kennymooreii,51596,cb,ind,1,33,8.3,8.3,0,0,0,0,0,0,0,0,0,9,2022,9
genostone_bal_2022_9,bal_2022_9,genostone_bal_2022,bal_2022,genostone,55967,s,bal,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
nickmccloud_nyg_2022_9,nyg_2022_9,nickmccloud_nyg_2022,nyg_2022,nickmccloud,49535,cb,nyg,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
rasuldouglas_gb_2022_9,gb_2022_9,rasuldouglas_gb_2022,gb_2022,rasuldouglas,11854,cb,gb,1,24,8.0,4.8,0,0,0,0,0,0,0,0,0,9,2022,9
troyhill_lar_2022_9,lar_2022_9,troyhill_lar_2022,lar_2022,troyhill,9881,cb,lar,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,9,2022,9
jimmieward_sf_2022_9,sf_2022_9,jimmieward_sf_2022,sf_2022,jimmieward,8665,s,sf,1,31,7.8,7.8,0,0,0,0,0,0,0,0,0,9,2022,9
dariouswilliams_jax_2022_9,jax_2022_9,dariouswilliams_jax_2022,jax_2022,dariouswilliams,55724,cb,jax,1,28,7.0,5.6,0,0,0,0,0,0,0,0,0,9,2022,9
michaelcarterii_nyj_2022_9,nyj_2022_9,michaelcarterii_nyj_2022,nyj_2022,michaelcarterii,60644,cb,nyj,1,34,6.8,6.8,0,0,0,0,0,0,0,0,0,9,2022,9
taronjohnson_buf_2022_9,buf_2022_9,taronjohnson_buf_2022,buf_2022,taronjohnson,49511,cb,buf,1,27,6.8,6.8,0,0,0,0,0,0,0,0,0,9,2022,9
