p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
trentbrown_ne_2022_9,ne_2022_9,trentbrown_ne_2022,ne_2022,trentbrown,9677,t,ne,1,0,19,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tylerlinderbaum_bal_2022_9,bal_2022_9,tylerlinderbaum_bal_2022,bal_2022,tylerlinderbaum,82291,ol,bal,1,0,3,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jamesferentz_ne_2022_9,ne_2022_9,jamesferentz_ne_2022,ne_2022,jamesferentz,9258,ol,ne,1,0,19,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
michaelonwenu_ne_2022_9,ne_2022_9,michaelonwenu_ne_2022,ne_2022,michaelonwenu,27357,g,ne,1,0,19,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
benpowers_bal_2022_9,bal_2022_9,benpowers_bal_2022,bal_2022,benpowers,41482,g,bal,1,0,3,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
kevinzeitler_bal_2022_9,bal_2022_9,kevinzeitler_bal_2022,bal_2022,kevinzeitler,7032,g,bal,1,0,3,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brianoneill_min_2022_9,min_2022_9,brianoneill_min_2022,min_2022,brianoneill,46854,t,min,1,0,18,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
koltonmiller_lv_2022_9,lv_2022_9,koltonmiller_lv_2022,lv_2022,koltonmiller,47013,t,lv,1,0,23,75.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
edingram_min_2022_9,min_2022_9,edingram_min_2022,min_2022,edingram,59819,g,min,1,1,18,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
dylanparham_lv_2022_9,lv_2022_9,dylanparham_lv_2022,lv_2022,dylanparham,60953,g,lv,1,0,23,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ezracleveland_min_2022_9,min_2022_9,ezracleveland_min_2022,min_2022,ezracleveland,41973,g,min,1,0,18,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
garrettbradbury_min_2022_9,min_2022_9,garrettbradbury_min_2022,min_2022,garrettbradbury,46013,ol,min,1,0,18,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andrejames_lv_2022_9,lv_2022_9,andrejames_lv_2022,lv_2022,andrejames,47058,ol,lv,1,0,23,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
alexbars_lv_2022_9,lv_2022_9,alexbars_lv_2022,lv_2022,alexbars,47018,g,lv,1,0,23,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
christiandarrisaw_min_2022_9,min_2022_9,christiandarrisaw_min_2022,min_2022,christiandarrisaw,77373,t,min,1,0,18,87.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
cordellvolson_cin_2022_9,cin_2022_9,cordellvolson_cin_2022,cin_2022,cordellvolson,30614,g,cin,1,0,7,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tedkarras_cin_2022_9,cin_2022_9,tedkarras_cin_2022,cin_2022,tedkarras,10855,ol,cin,1,0,7,83.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
nateherbig_nyj_2022_9,nyj_2022_9,nateherbig_nyj_2022,nyj_2022,nateherbig,28844,g,nyj,1,0,22,67.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
morganmoses_bal_2022_9,bal_2022_9,morganmoses_bal_2022,bal_2022,morganmoses,8701,t,bal,1,0,3,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jonahwilliams_cin_2022_9,cin_2022_9,jonahwilliams_cin_2022,cin_2022,jonahwilliams,41651,t,cin,1,0,7,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
duanebrown_nyj_2022_9,nyj_2022_9,duanebrown_nyj_2022,nyj_2022,duanebrown,4340,t,nyj,1,0,22,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
cedricogbuehi_nyj_2022_9,nyj_2022_9,cedricogbuehi_nyj_2022,nyj_2022,cedricogbuehi,9454,t,nyj,1,0,22,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
lakentomlinson_nyj_2022_9,nyj_2022_9,lakentomlinson_nyj_2022,nyj_2022,lakentomlinson,9461,g,nyj,1,0,22,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
alexcappa_cin_2022_9,cin_2022_9,alexcappa_cin_2022,cin_2022,alexcappa,66578,g,cin,1,0,7,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
laelcollins_cin_2022_9,cin_2022_9,laelcollins_cin_2022,cin_2022,laelcollins,9719,t,cin,1,0,7,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
connorwilliams_mia_2022_9,mia_2022_9,connorwilliams_mia_2022,mia_2022,connorwilliams,46216,ol,mia,1,0,17,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
bradleybozeman_car_2022_9,car_2022_9,bradleybozeman_car_2022,car_2022,bradleybozeman,27934,ol,car,1,0,5,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
taylormoton_car_2022_9,car_2022_9,taylormoton_car_2022,car_2022,taylormoton,11819,t,car,1,0,5,82.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
bradychristensen_car_2022_9,car_2022_9,bradychristensen_car_2022,car_2022,bradychristensen,51985,g,car,1,0,5,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jonahjackson_det_2022_9,det_2022_9,jonahjackson_det_2022,det_2022,jonahjackson,37070,g,det,1,1,11,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
taylordecker_det_2022_9,det_2022_9,taylordecker_det_2022,det_2022,taylordecker,10650,t,det,1,0,11,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
brandonshell_mia_2022_9,mia_2022_9,brandonshell_mia_2022,mia_2022,brandonshell,10792,t,mia,1,1,17,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
austincorbett_car_2022_9,car_2022_9,austincorbett_car_2022,car_2022,austincorbett,46290,g,car,1,0,5,73.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
frankragnow_det_2022_9,det_2022_9,frankragnow_det_2022,det_2022,frankragnow,39137,ol,det,1,0,11,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
evanbrown_det_2022_9,det_2022_9,evanbrown_det_2022,det_2022,evanbrown,38709,g,det,1,0,11,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
ikemekwonu_car_2022_9,car_2022_9,ikemekwonu_car_2022,car_2022,ikemekwonu,98286,t,car,1,0,5,90.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
roberthunt_mia_2022_9,mia_2022_9,roberthunt_mia_2022,mia_2022,roberthunt,46139,g,mia,1,0,17,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
peneisewell_det_2022_9,det_2022_9,peneisewell_det_2022,det_2022,peneisewell,81788,t,det,1,0,11,75.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
terronarmstead_mia_2022_9,mia_2022_9,terronarmstead_mia_2022,mia_2022,terronarmstead,7856,t,mia,1,1,17,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
abrahamlucas_sea_2022_9,sea_2022_9,abrahamlucas_sea_2022,sea_2022,abrahamlucas,60218,t,sea,1,0,29,81.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
charlescross_sea_2022_9,sea_2022_9,charlescross_sea_2022,sea_2022,charlescross,98401,t,sea,1,0,29,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
damienlewis_sea_2022_9,sea_2022_9,damienlewis_sea_2022,sea_2022,damienlewis,81532,g,sea,1,0,29,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
joshuaezeudu_nyg_2022_9,nyg_2022_9,joshuaezeudu_nyg_2022,nyg_2022,joshuaezeudu,77355,g,nyg,1,0,21,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jonfeliciano_nyg_2022_9,nyg_2022_9,jonfeliciano_nyg_2022,nyg_2022,jonfeliciano,9561,ol,nyg,1,0,21,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
tyrephillips_nyg_2022_9,nyg_2022_9,tyrephillips_nyg_2022,nyg_2022,tyrephillips,59874,t,nyg,1,0,21,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
markglowinski_nyg_2022_9,nyg_2022_9,markglowinski_nyg_2022,nyg_2022,markglowinski,9567,g,nyg,1,0,21,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
andrewthomas_nyg_2022_9,nyg_2022_9,andrewthomas_nyg_2022,nyg_2022,andrewthomas,59701,t,nyg,1,0,21,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
jawaantaylor_jax_2022_9,jax_2022_9,jawaantaylor_jax_2022,jax_2022,jawaantaylor,41665,t,jax,1,0,15,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2022,9
