p_id,player,player_team_id,unique_team_id,team_id_impute,numeric_id,position,team_name,year,week,pass_summary_player_game_count,pass_summary_accuracy_percent,pass_summary_aimed_passes,pass_summary_attempts,pass_summary_avg_depth_of_target,pass_summary_avg_time_to_throw,pass_summary_bats,pass_summary_big_time_throws,pass_summary_btt_rate,pass_summary_completion_percent,pass_summary_completions,pass_summary_declined_penalties,pass_summary_def_gen_pressures,pass_summary_drop_rate,pass_summary_dropbacks,pass_summary_drops,pass_summary_first_downs,pass_summary_franchise_id,pass_summary_grades_hands_fumble,pass_summary_grades_offense,pass_summary_grades_pass,pass_summary_grades_run,pass_summary_hit_as_threw,pass_summary_interceptions,pass_summary_passing_snaps,pass_summary_penalties,pass_summary_pressure_to_sack_rate,pass_summary_qb_rating,pass_summary_sack_percent,pass_summary_sacks,pass_summary_scrambles,pass_summary_spikes,pass_summary_thrown_aways,pass_summary_touchdowns,pass_summary_turnover_worthy_plays,pass_summary_twp_rate,pass_summary_yards,pass_summary_ypa
samdarnold_car_2021_2,samdarnold,samdarnold_car_2021,car_2021_2,car_2021,29048,qb,car,2021,2,1,77.1,35,38,7.0,2.85,0,0,0.0,68.4,26,0,8,3.7,41,1,18,5,79.5,73.3,69.9,65.6,0,1,44,0,25.0,99.1,4.9,2,1,0,3,2,2,4.5,305,8.0
derekcarr_lv_2021_2,derekcarr,derekcarr_lv_2021,lv_2021_2,lv_2021,8671,qb,lv,2021,2,1,82.9,35,37,8.8,2.54,2,5,12.8,75.7,28,0,13,3.4,40,1,17,23,29.2,81.3,81.6,56.8,0,0,42,0,15.4,126.2,5.0,2,1,0,0,2,2,4.8,382,10.3
kylermurray_ari_2021_2,kylermurray,kylermurray_ari_2021,ari_2021_2,ari_2021,38334,qb,ari,2021,2,1,88.2,34,36,8.2,3.03,0,3,8.1,80.6,29,0,13,3.3,41,1,18,1,79.9,76.7,76.5,60.5,0,2,42,0,23.1,117.6,7.3,3,2,0,2,3,1,2.4,400,11.1
jaredgoff_det_2021_2,jaredgoff,jaredgoff_det_2021,det_2021_2,det_2021,10635,qb,det,2021,2,1,80.0,35,36,7.3,3.03,0,2,5.6,72.2,26,0,14,7.1,39,2,12,11,20.6,62.9,68.2,46.9,1,1,39,2,7.1,97.7,2.6,1,2,0,0,2,2,5.1,246,6.8
tombrady_tb_2021_2,tombrady,tombrady_tb_2021,tb_2021_2,tb_2021,698,qb,tb,2021,2,1,70.6,34,36,11.1,2.4,1,3,7.9,66.7,24,0,9,0.0,40,0,15,30,79.2,84.9,82.3,62.6,0,0,42,0,33.3,129.2,7.5,3,1,0,1,5,0,0.0,276,7.7
teddybridgewater_den_2021_2,teddybridgewater,teddybridgewater_den_2021,den_2021_2,den_2021,8667,qb,den,2021,2,1,76.5,34,34,11.0,3.15,0,2,5.6,76.5,26,0,14,0.0,38,0,12,10,79.7,69.2,68.4,60.1,0,0,40,0,21.4,125.6,7.9,3,1,0,0,2,0,0.0,328,9.6
joshallen_buf_2021_2,joshallen,joshallen_buf_2021,buf_2021_2,buf_2021,46601,qb,buf,2021,2,1,60.7,28,33,10.0,2.95,1,2,6.1,51.5,17,0,14,0.0,36,0,10,4,79.2,53.7,45.4,78.4,0,1,37,0,7.1,75.2,2.8,1,2,0,4,2,3,8.1,179,5.4
zachwilson_nyj_2021_2,zachwilson,zachwilson_nyj_2021,nyj_2021_2,nyj_2021,82096,qb,nyj,2021,2,1,67.7,31,33,9.0,3.29,0,2,5.4,57.6,19,0,19,9.5,39,2,7,22,79.7,54.4,49.8,74.9,2,4,43,0,21.1,37.0,10.3,4,2,0,0,0,2,4.7,210,6.4
trevorlawrence_jax_2021_2,trevorlawrence,trevorlawrence_jax_2021,jax_2021_2,jax_2021,77632,qb,jax,2021,2,1,51.6,31,33,12.6,2.8,0,1,2.6,42.4,14,0,11,12.5,36,2,8,15,79.2,40.1,36.8,73.9,0,2,41,0,9.1,37.2,2.8,1,2,0,2,1,3,7.3,118,3.6
danieljones_nyg_2021_2,danieljones,danieljones_nyg_2021,nyg_2021_2,nyg_2021,39395,qb,nyg,2021,2,1,78.1,32,32,11.0,2.76,0,2,5.4,68.8,22,0,17,12.0,38,3,10,21,80.8,91.1,90.7,67.3,0,0,43,0,23.5,102.2,10.5,4,2,0,0,1,0,0.0,249,7.8
kirkcousins_min_2021_2,kirkcousins,kirkcousins_min_2021,min_2021_2,min_2021,7102,qb,min,2021,2,1,82.8,29,32,6.7,2.34,2,2,6.3,68.8,22,0,7,8.3,35,2,12,18,27.1,86.5,80.9,76.0,1,0,35,0,14.3,122.4,2.9,1,2,0,0,3,1,2.9,244,7.6
patrickmahomes_kc_2021_2,patrickmahomes,patrickmahomes_kc_2021,kc_2021_2,kc_2021,11765,qb,kc,2021,2,1,83.3,30,31,8.6,2.66,0,0,0.0,77.4,24,0,6,4.0,32,1,18,16,77.9,52.3,54.1,55.3,0,1,33,1,0.0,131.5,0.0,0,1,0,1,3,2,6.1,343,11.1
russellwilson_sea_2021_2,russellwilson,russellwilson_sea_2021,sea_2021_2,sea_2021,7077,qb,sea,2021,2,1,73.3,30,31,10.1,2.73,0,2,6.1,71.0,22,0,12,0.0,37,0,11,29,78.9,74.5,73.9,59.4,1,0,39,0,33.3,128.8,10.8,4,2,0,0,2,0,0.0,343,11.1
carsonwentz_ind_2021_2,carsonwentz,carsonwentz_ind_2021,ind_2021_2,ind_2021,10636,qb,ind,2021,2,1,72.4,29,31,7.9,2.92,0,1,3.1,64.5,20,0,17,4.8,39,1,13,14,79.0,73.6,67.1,77.4,1,1,40,0,17.6,86.4,7.7,3,5,0,1,1,0,0.0,247,8.0
matthewstafford_lar_2021_2,matthewstafford,matthewstafford_lar_2021,lar_2021_2,lar_2021,4924,qb,lar,2021,2,1,82.1,28,30,7.4,2.82,0,0,0.0,63.3,19,0,5,17.4,32,4,15,26,78.0,78.2,79.9,52.5,1,1,32,0,20.0,101.8,3.1,1,1,0,1,2,1,3.1,278,9.3
joeburrow_cin_2021_2,joeburrow,joeburrow_cin_2021,cin_2021_2,cin_2021,28022,qb,cin,2021,2,1,72.4,29,30,8.2,2.51,0,0,0.0,63.3,19,0,12,9.5,35,2,10,7,78.3,66.6,65.6,61.09127155172414,0,3,35,0,41.7,66.3,14.3,5,0,0,1,2,2,5.7,207,6.9
jimmygaroppolo_sf_2021_2,jimmygaroppolo,jimmygaroppolo_sf_2021,sf_2021_2,sf_2021,8697,qb,sf,2021,2,1,83.3,30,30,3.6,2.58,0,0,0.0,73.3,22,0,7,12.0,33,3,10,28,79.6,62.5,57.0,69.8,0,0,34,0,0.0,100.6,0.0,0,3,0,0,1,2,5.9,189,6.3
