home_matchup_id,away_matchup_id,team_id,schedule_season,schedule_week,team_home_abb,score_home,score_away,away_team_abb,team_favorite_id,spread_favorite,over_under_line,starting_spread,Total Score Open,fav_team_open,fav_team_cur,remain_fav,spread_movement,ou_movement,strong_movement,fav_team_stronger,fav_spread,team_notfav_id,fav_cover,over_under_result,precip,dome,temperature,wind_mph,team_abb,homeoraway,fav_homeoraway,ats_w,ats_l
minvslar_2017_11,lar@min_2017_11,min_2017_11,2017,11,min,24.0,7.0,lar,min,-1.0,46.0,-2.5,46.0,minnesota vikings,minnesota vikings,1,1.5,0.0,0,0,-1.0,lar,cover,under,0,1,70,0,min,1,0,1,0
minvscin_2017_15,cin@min_2017_15,min_2017_15,2017,15,min,34.0,7.0,cin,min,-12.5,42.5,-11.5,41.0,minnesota vikings,minnesota vikings,1,-1.0,1.5,0,1,-12.5,cin,cover,under,0,1,70,0,min,1,0,1,0
minvschi_2017_17,chi@min_2017_17,min_2017_17,2017,17,min,23.0,10.0,chi,min,-13.5,38.5,-12.5,39.5,minnesota vikings,minnesota vikings,1,-1.0,-1.0,0,1,-13.5,chi,no cover,under,0,1,70,0,min,1,0,0,1
minvssf_2018_1,sf@min_2018_1,min_2018_1,2018,1,min,24.0,16.0,sf,min,-6.0,46.5,-5.5,46.0,minnesota vikings,minnesota vikings,1,-0.5,0.5,0,1,-6.0,sf,cover,under,0,1,70,0,min,1,0,1,0
minvsbuf_2018_3,buf@min_2018_3,min_2018_3,2018,3,min,6.0,27.0,buf,min,-16.5,41.0,-16.5,40.5,minnesota vikings,minnesota vikings,1,0.0,0.5,0,0,-16.5,buf,no cover,under,0,1,70,0,min,1,0,0,1
minvsari_2018_6,ari@min_2018_6,min_2018_6,2018,6,min,27.0,17.0,ari,min,-9.5,43.5,-10.5,43.0,minnesota vikings,minnesota vikings,1,1.0,0.5,0,0,-9.5,ari,cover,over,0,1,70,0,min,1,0,1,0
minvsno_2018_8,no@min_2018_8,min_2018_8,2018,8,min,20.0,30.0,no,no,-2.5,54.0,-1.5,52.0,minnesota vikings,new orleans saints,0,4.0,2.0,1,0,-2.5,min,cover,under,0,1,70,0,min,1,1,0,1
minvsdet_2018_9,det@min_2018_9,min_2018_9,2018,9,min,24.0,9.0,det,min,-4.5,47.0,-5.0,51.0,minnesota vikings,minnesota vikings,1,0.5,-4.0,0,0,-4.5,det,cover,under,0,1,70,0,min,1,0,1,0
minvsgb_2018_12,gb@min_2018_12,min_2018_12,2018,12,min,24.0,17.0,gb,min,-3.5,48.5,-4.0,48.0,minnesota vikings,minnesota vikings,1,0.5,0.5,0,0,-3.5,gb,cover,under,0,1,70,0,min,1,0,1,0
minvsmia_2018_15,mia@min_2018_15,min_2018_15,2018,15,min,41.0,17.0,mia,min,-7.5,45.0,-7.0,43.0,minnesota vikings,minnesota vikings,1,-0.5,2.0,0,1,-7.5,mia,cover,over,0,1,70,0,min,1,0,1,0
