unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
joshuakaindoh_kc_2021,joshuakaindoh,kc,2021,ed,78,260,,2021,4,145
raymondjohnsoniii_nyg_2021,raymondjohnsoniii,nyg,2021,di,75,270,,2021,10,300
ajepenesa_buf_2021,ajepenesa,buf,2021,ed,78,260,,2020,2,54
chaseyoung_was_2021,chaseyoung,was,2021,ed,77,264,,2020,1,2
yeturgrossmatos_car_2021,yeturgrossmatos,car,2021,ed,77,265,,2020,2,38
patrickjohnson_phi_2021,patrickjohnson,phi,2021,lb,74,248,,2021,7,235
cameronsample_cin_2021,cameronsample,cin,2021,ed,75,280,,2021,4,112
isaiahbuggs_pit_2021,isaiahbuggs,pit,2021,di,75,295,,2019,6,192
tedarrellslaton_gb_2021,tedarrellslaton,gb,2021,di,77,340,,2021,5,174
quintonbohanna_dal_2021,quintonbohanna,dal,2021,di,76,360,,2021,6,193
miltonwilliams_phi_2021,miltonwilliams,phi,2021,di,75,290,,2021,3,73
jonathangarvin_gb_2021,jonathangarvin,gb,2021,ed,76,257,,2020,7,242
kwitypaye_ind_2021,kwitypaye,ind,2021,ed,74,261,,2021,1,21
jordanelliott_cle_2021,jordanelliott,cle,2021,di,76,303,,2020,3,88
altonrobinson_sea_2021,altonrobinson,sea,2021,ed,76,260,,2020,5,148
anthonyrush_ten_2021,anthonyrush,ten,2021,di,77,350,,2019,10,300
anthonyrush_atl_2021,anthonyrush,atl,2021,di,77,350,,2019,10,300
jaelanphillips_mia_2021,jaelanphillips,mia,2021,ed,77,263,,2021,1,18
larrellmurchison_ten_2021,larrellmurchison,ten,2021,di,75,291,,2020,5,174
marlontuipulotu_phi_2021,marlontuipulotu,phi,2021,di,74,307,,2021,6,190
johnpenisini_det_2021,johnpenisini,det,2021,di,74,333,,2020,6,197
mykalwalker_atl_2021,mykalwalker,atl,2021,lb,75,230,,2020,4,119
montyrice_ten_2021,montyrice,ten,2021,lb,72,233,,2021,3,93
delshawnphillips_nyj_2021,delshawnphillips,nyj,2021,lb,74,230,,2019,10,300
jamindavis_was_2021,jamindavis,was,2021,lb,75,234,,2021,1,19
patrickqueen_bal_2021,patrickqueen,bal,2021,lb,72,237,,2020,1,28
klavonchaisson_jax_2021,klavonchaisson,jax,2021,ed,75,254,,2020,1,20
jeremiahowusukoramoah_cle_2021,jeremiahowusukoramoah,cle,2021,lb,74,221,,2021,2,52
kennethmurray_lac_2021,kennethmurray,lac,2021,lb,74,243,,2020,1,23
derrickbarnes_det_2021,derrickbarnes,det,2021,lb,72,238,,2021,4,114
joetryonshoyinka_tb_2021,joetryonshoyinka,tb,2021,ed,77,259,,2021,1,32
michaelcarterii_nyj_2021,michaelcarterii,nyj,2021,cb,71,190,,2021,5,155
jamespierre_pit_2021,jamespierre,pit,2021,cb,74,185,,2020,10,300
calebfarley_ten_2021,calebfarley,ten,2021,cb,74,197,,2021,1,22
rondalemoore_ari_2021,rondalemoore,ari,2021,wr,67,180,,2021,2,49
zachsieler_mia_2021,zachsieler,mia,2021,di,78,305,,2018,7,238
asantesamueljr_lac_2021,asantesamueljr,lac,2021,cb,70,184,,2021,2,47
andrecisco_jax_2021,andrecisco,jax,2021,s,72,209,,2021,3,65
chrisclaybrooks_jax_2021,chrisclaybrooks,jax,2021,cb,69,179,,2020,7,223
gregoryrousseau_buf_2021,gregoryrousseau,buf,2021,ed,78,260,,2021,1,30
alimmcneill_det_2021,alimmcneill,det,2021,di,74,325,,2021,3,72
