player_name,match_name,score
djhumphries_ari_2018,djhumphries_ari_2018,100
mikeiupati_ari_2018,mikeiupati_ari_2018,100
christiankirk_ari_2018,christiankirk_ari_2018,100
tjlogan_ari_2018,tjlogan_ari_2018,100
gabemartin_ari_2018,,0
praisemartinoguike_ari_2018,,0
bensonmayowa_ari_2018,bensonmayowa_ari_2018,100
arthurmoats_ari_2018,,0
jjnelson_ari_2018,jjnelson_ari_2018,100
robertnkemdiche_ari_2018,robertnkemdiche_ari_2018,100
jonathanowens_ari_2018,,0
coreypeters_ari_2018,coreypeters_ari_2018,100
patrickpeterson_ari_2018,patrickpeterson_ari_2018,100
johnphillips_ari_2018,johnphillips_ari_2018,100
olsenpierre_ari_2018,olsenpierre_ari_2018,100
justinpugh_ari_2018,justinpugh_ari_2018,100
haasonreddick_ari_2018,haasonreddick_ari_2018,100
rickysealsjones_ari_2018,rickysealsjones_ari_2018,100
aqshipley_ari_2018,aqshipley_ari_2018,100
andresmith_ari_2018,andresmith_ari_2018,100
jamartaylor_ari_2018,jamartaylor_ari_2018,100
jeremyvujnovich_ari_2018,jeremyvujnovich_ari_2018,100
johnwetzel_ari_2018,johnwetzel_ari_2018,100
chadwilliams_ari_2018,chadwilliams_ari_2018,100
robertalford_ari_2019,,0
zachallen_ari_2019,zachallen_ari_2019,100
tramainebrock_ari_2019,tramainebrocksr_ari_2019,96
milesbrown_ari_2019,milesbrown_ari_2019,100
jonathanbullard_ari_2019,jonathanbullard_ari_2019,100
hakeembutler_ari_2019,,0
damierebyrd_ari_2019,damierebyrd_ari_2019,100
charlesclay_ari_2019,charlesclay_ari_2019,100
darrelldaniels_ari_2019,darrelldaniels_ari_2019,100
chaseedmonds_ari_2019,chaseedmonds_ari_2019,100
djfoster_ari_2019,djfoster_ari_2019,100
lamontgaillard_ari_2019,,0
maxgarcia_ari_2019,maxgarcia_ari_2019,100
dennisgardeck_ari_2019,dennisgardeck_ari_2019,100
marcusgilbert_ari_2019,,0
rodneygunter_ari_2019,rodneygunter_ari_2019,100
jordanhicks_ari_2019,jordanhicks_ari_2019,100
andyisabella_ari_2019,andyisabella_ari_2019,100
davidjohnson_ari_2019,davidjohnson_ari_2019,100
chrisjones_ari_2019,chrisjones_ari_2019,100
zachkerr_ari_2019,zachkerr_ari_2019,100
christiankirk_ari_2019,christiankirk_ari_2019,100
