,unique_id,name,team,year,position,height,wt,speed,draft_yr,round,selection
330,mylesjack_pit_2021,mylesjack,pit,2021,lb,73,255,,2016,2,36
331,chrisjones_kc_2021,chrisjones,kc,2021,di,78,310,5.03,2016,2,37
332,xavienhoward_mia_2021,xavienhoward,mia,2021,cb,73,203,4.58,2016,2,38
333,austinjohnson_lac_2021,austinjohnson,lac,2021,di,76,314,5.32,2016,2,43
334,jihadward_nyg_2021,jihadward,nyg,2021,ed,77,287,5.11,2016,2,44
335,ashawnrobinson_lar_2021,ashawnrobinson,lar,2021,di,76,330,5.2,2016,2,46
336,jarranreed_gb_2021,jarranreed,gb,2021,di,75,307,5.21,2016,2,49
337,vonnbell_cin_2021,vonnbell,cin,2021,s,71,215,,2016,2,61
338,jamesbradberry_phi_2021,jamesbradberry,phi,2021,cb,73,210,4.5,2016,2,62
339,adamgotsis_jax_2021,adamgotsis,jax,2021,di,76,287,,2016,2,63
340,kevinbyard_ten_2021,kevinbyard,ten,2021,s,71,212,,2016,3,64
341,carlnassib_tb_2021,carlnassib,tb,2021,ed,79,275,4.84,2016,3,65
342,maliekcollins_hou_2021,maliekcollins,hou,2021,di,74,310,5.03,2016,3,67
343,yannickngakoue_ind_2021,yannickngakoue,ind,2021,ed,74,246,4.75,2016,3,69
344,jonathanbullard_min_2021,jonathanbullard,min,2021,di,75,290,4.93,2016,3,72
345,kendallfuller_was_2021,kendallfuller,was,2021,cb,71,198,,2016,3,84
346,nickvigil_ari_2021,nickvigil,ari,2021,lb,74,239,4.72,2016,3,87
347,javonhargrave_phi_2021,javonhargrave,phi,2021,di,74,305,4.93,2016,3,89
348,justinsimmons_den_2021,justinsimmons,den,2021,s,74,202,4.61,2016,3,98
349,mileskillebrew_pit_2021,mileskillebrew,pit,2021,lb,74,222,4.65,2016,4,111
350,devondrecampbell_gb_2021,devondrecampbell,gb,2021,lb,75,232,4.58,2016,4,115
351,hassanridgeway_sf_2021,hassanridgeway,sf,2021,di,75,305,5.02,2016,4,116
352,davidonyemata_no_2021,davidonyemata,no,2021,di,76,300,,2016,4,120
353,andrewbillings_lv_2021,andrewbillings,lv,2021,di,73,311,5.05,2016,4,122
354,deonbush_kc_2021,deonbush,kc,2021,s,72,200,4.64,2016,4,124
355,deanlowry_gb_2021,deanlowry,gb,2021,di,78,296,4.87,2016,4,137
356,matthewjudon_ne_2021,matthewjudon,ne,2021,ed,75,261,4.73,2016,5,146
357,quintonjefferson_sea_2021,quintonjefferson,sea,2021,di,76,291,4.95,2016,5,147
358,mattioannidis_car_2021,mattioannidis,car,2021,di,75,305,5.03,2016,5,152
359,djreader_cin_2021,djreader,cin,2021,di,75,347,5.33,2016,5,166
360,deandrehoustoncarson_chi_2021,deandrehoustoncarson,chi,2021,s,72,202,4.54,2016,6,185
361,anthonybrown_dal_2021,anthonybrown,dal,2021,cb,71,196,4.35,2016,6,189
362,kamugrugierhill_hou_2021,kamugrugierhill,hou,2021,lb,74,230,,2016,6,208
363,elandonroberts_mia_2021,elandonroberts,mia,2021,lb,73,238,,2016,6,214
364,jalenmills_ne_2021,jalenmills,ne,2021,cb,72,191,4.61,2016,7,233
365,jayronkearse_dal_2021,jayronkearse,dal,2021,s,76,215,4.62,2016,7,244
366,mikehilton_cin_2021,mikehilton,cin,2021,cb,69,184,,2016,10,300
367,michaelpierce_bal_2021,michaelpierce,bal,2021,di,72,355,,2016,10,300
368,morganfox_lac_2021,morganfox,lac,2021,di,75,275,,2016,10,300
369,corylittleton_car_2021,corylittleton,car,2021,lb,75,225,4.73,2016,10,300
370,jonathanjones_ne_2021,jonathanjones,ne,2021,cb,70,190,4.33,2016,10,300
371,royrobertsonharris_jax_2021,royrobertsonharris,jax,2021,di,77,298,,2016,10,300
372,mylesgarrett_cle_2021,mylesgarrett,cle,2021,ed,76,272,4.64,2017,1,1
373,solomonthomas_nyj_2021,solomonthomas,nyj,2021,di,74,256,4.69,2017,1,3
374,jamaladams_sea_2021,jamaladams,sea,2021,s,73,213,4.56,2017,1,6
375,marshonlattimore_no_2021,marshonlattimore,no,2021,cb,72,192,4.36,2017,1,11
376,haasonreddick_phi_2021,haasonreddick,phi,2021,ed,73,240,4.52,2017,1,13
377,derekbarnett_phi_2021,derekbarnett,phi,2021,ed,75,259,4.88,2017,1,14
378,malikhooker_dal_2021,malikhooker,dal,2021,s,74,212,,2017,1,15
379,marlonhumphrey_bal_2021,marlonhumphrey,bal,2021,cb,72,205,4.41,2017,1,16
380,jonathanallen_was_2021,jonathanallen,was,2021,di,75,300,5.0,2017,1,17
381,adoreejackson_nyg_2021,adoreejackson,nyg,2021,cb,71,185,4.42,2017,1,18
382,charlesharris_det_2021,charlesharris,det,2021,ed,75,250,4.82,2017,1,22
383,jabrillpeppers_ne_2021,jabrillpeppers,ne,2021,s,71,213,4.46,2017,1,25
384,tjwatt_pit_2021,tjwatt,pit,2021,ed,76,252,4.69,2017,1,30
385,buddabaker_ari_2021,buddabaker,ari,2021,s,70,195,4.45,2017,2,36
386,marcusmaye_no_2021,marcusmaye,no,2021,s,71,207,,2017,2,39
387,marcuswilliams_bal_2021,marcuswilliams,bal,2021,s,73,207,4.56,2017,2,42
388,sidneyjones_sea_2021,sidneyjones,sea,2021,cb,72,181,4.47,2017,2,43
389,justinevans_no_2021,justinevans,no,2021,s,72,199,,2017,2,50
390,demarcuswalker_ten_2021,demarcuswalker,ten,2021,ed,76,280,,2017,2,51
391,raekwonmcmillan_ne_2021,raekwonmcmillan,ne,2021,lb,74,242,4.61,2017,2,54
392,dalvintomlinson_min_2021,dalvintomlinson,min,2021,di,75,325,5.19,2017,2,55
393,zachcunningham_ten_2021,zachcunningham,ten,2021,lb,75,230,4.67,2017,2,57
394,chidobeawuzie_cin_2021,chidobeawuzie,cin,2021,cb,72,202,4.43,2017,2,60
395,joshjones_sea_2021,joshjones,sea,2021,s,74,220,4.41,2017,2,61
396,larryogunjobi_pit_2021,larryogunjobi,pit,2021,di,75,305,4.97,2017,3,65
397,ahkellowitherspoon_pit_2021,ahkellowitherspoon,pit,2021,cb,74,195,4.45,2017,3,66
398,dawuanesmoot_jax_2021,dawuanesmoot,jax,2021,di,75,264,4.77,2017,3,68
399,chriswormley_pit_2021,chriswormley,pit,2021,di,77,300,,2017,3,74
400,dukeriley_mia_2021,dukeriley,mia,2021,lb,73,227,4.58,2017,3,75
401,alexanzalone_det_2021,alexanzalone,det,2021,lb,75,237,4.63,2017,3,76
402,tarellbasham_dal_2021,tarellbasham,dal,2021,ed,76,266,4.7,2017,3,80
