home_matchup_id,home_team,away_team,year,week,wl_total,game_count,avg_pf,avg_pa,avg_point_diff,pff_ovr_total,pff_offense_total,pff_pass_total,pff_pass_blocking_total,pff_run_blocking_total,pff_receiving_total,pff_rushing_total,pff_defense_total,pff_rush_defense_total,pff_tackling_total,pff_pass_rush_total,pff_coverage_total,pff_special_teams_total,win_percentage,opp_wl_total,opp_game_count,opp_avg_pf,opp_avg_pa,opp_avg_point_diff,opp_pff_ovr_total,opp_pff_offense_total,opp_pff_pass_total,opp_pff_pass_blocking_total,opp_pff_run_blocking_total,opp_pff_receiving_total,opp_pff_rushing_total,opp_pff_defense_total,opp_pff_rush_defense_total,opp_pff_tackling_total,opp_pff_pass_rush_total,opp_pff_coverage_total,opp_pff_special_teams_total,opp_win_percentage,fav_homeoraway,team_favorite_id,fav_cover,spread_favorite,over_under_line,starting_spread,Total Score Open,spread_movement,precip,dome,temperature,wind_mph,ou_movement,strong_movement,fav_team_stronger,fav_spread,ats_w,ats_l,home_is_fav
tbvschi_2015_16,tb,chi,2015,16,5.0,14.0,20.642857142857142,25.142857142857142,-4.5,70.37857142857142,71.44285714285715,64.64285714285714,63.114285714285714,75.04285714285713,67.84285714285714,62.6,63.778571428571425,64.62142857142858,65.09285714285714,63.285714285714285,59.864285714285714,61.949999999999996,0.35714285714285715,6.0,14.0,22.214285714285715,25.214285714285715,-3.0,67.07857142857144,72.57142857142857,68.15714285714286,68.71428571428571,70.42142857142856,69.38571428571427,68.28571428571428,56.29285714285715,57.364285714285714,57.51428571428572,63.11428571428572,54.98571428571429,62.65,0.42857142857142855,0,tb,no cover,-3.0,44.0,-3.0,45.5,0.0,0.0,0.0,83.0,11.0,-1.5,0.0,0.0,-3.0,0,1,1
chivsdet_2015_17,chi,det,2015,17,6.0,15.0,21.0,24.866666666666667,-3.8666666666666667,70.88000000000001,71.94666666666667,64.79333333333334,64.44666666666667,75.83333333333333,67.76,62.92666666666666,63.95333333333334,65.11999999999999,65.24,62.940000000000005,59.95333333333333,61.57333333333334,0.4,6.0,15.0,22.266666666666666,25.333333333333332,-3.066666666666667,69.63333333333334,69.29333333333334,63.513333333333335,67.14666666666668,65.37333333333332,70.42666666666666,58.54666666666666,64.36666666666666,67.14,64.21333333333334,63.35333333333334,60.43333333333333,61.49333333333333,0.4,1,det,cover,-2.5,45.0,-1.5,45.0,4.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,-2.5,0,1,0
dalvschi_2016_3,dal,chi,2016,3,0.0,2.0,14.0,26.0,-12.0,73.05000000000001,65.75,62.59999999999998,57.000000000000014,70.99999999999999,67.9,50.85,72.80000000000001,72.8,69.10000000000002,62.300000000000026,71.95,71.4,0.0,1.0,2.0,23.0,21.5,1.5,65.70000000000002,66.2,70.14999999999998,62.100000000000016,62.19999999999999,66.69999999999997,53.400000000000006,60.35000000000002,54.249999999999986,69.94999999999999,52.25000000000003,68.15000000000002,57.89999999999999,0.5,0,dal,cover,-6.5,45.0,-5.5,45.0,-1.0,1.0,0.0,75.0,4.0,-0.5,0.0,1.0,-6.5,1,0,1
chivsdet_2016_4,chi,det,2016,4,0.0,3.0,15.0,27.666666666666668,-12.666666666666666,70.53333333333335,66.43333333333334,63.933333333333316,65.40000000000002,75.49999999999999,65.06666666666666,51.73333333333333,68.16666666666667,68.10000000000001,71.13333333333334,62.03333333333335,67.06666666666666,66.73333333333333,0.0,1.0,3.0,27.0,28.333333333333332,-1.3333333333333333,71.30000000000003,78.53333333333335,79.26666666666667,74.90000000000002,70.66666666666664,71.83333333333331,68.03333333333332,52.30000000000002,50.56666666666666,63.46666666666667,52.76666666666669,59.03333333333335,73.19999999999999,0.3333333333333333,1,det,no cover,-3.0,48.0,-3.0,46.0,0.0,0.0,0.0,64.0,2.0,2.0,0.0,0.0,-3.0,1,0,0
indvschi_2016_5,ind,chi,2016,5,1.0,4.0,15.5,24.25,-8.75,71.30000000000001,68.975,69.74999999999999,70.5,71.875,67.05,53.25,67.05000000000001,71.05,65.47500000000001,58.92500000000001,65.8,65.15,0.25,1.0,4.0,27.0,31.25,-4.25,65.37500000000001,68.8,73.99999999999999,66.875,61.849999999999994,65.04999999999997,59.57499999999998,55.17500000000001,55.45,58.449999999999996,59.62500000000002,54.40000000000002,62.34999999999999,0.25,0,ind,cover,-4.0,47.5,-4.5,47.5,0.5,0.0,1.0,70.0,0.0,0.0,0.0,0.0,-4.0,1,0,1
chivsjax_2016_6,chi,jax,2016,6,1.0,5.0,17.0,25.2,-8.2,72.66,71.52000000000001,71.11999999999999,72.66,74.17999999999999,67.9,57.82000000000001,67.26000000000002,71.52000000000001,69.2,58.040000000000006,66.4,63.720000000000006,0.2,1.0,4.0,21.0,27.75,-6.75,66.025,63.94999999999999,58.44999999999999,74.30000000000001,63.74999999999999,63.02499999999997,58.499999999999986,66.025,71.3,72.925,62.775000000000034,62.300000000000026,50.774999999999984,0.25,0,chi,no cover,-2.5,46.0,-2.0,47.0,-0.5,1.0,0.0,67.0,3.0,-1.0,0.0,1.0,-2.5,0,1,1
gbvschi_2016_7,gb,chi,2016,7,1.0,6.0,16.833333333333332,23.833333333333332,-7.0,71.95,71.06666666666666,69.69999999999999,74.5,73.25,67.26666666666667,58.416666666666664,66.23333333333333,72.33333333333333,71.8,58.6,64.11666666666666,63.81666666666666,0.16666666666666666,3.0,5.0,22.8,22.6,0.2,68.82000000000002,69.4,63.25999999999999,89.38000000000001,65.6,63.75999999999999,62.69999999999999,64.68,75.43999999999998,60.61999999999999,69.24000000000001,51.54000000000002,56.61999999999998,0.6,0,gb,cover,-7.5,46.5,-9.0,47.0,1.5,0.0,0.0,47.0,3.0,-0.5,0.0,0.0,-7.5,1,0,1
chivsmin_2016_8,chi,min,2016,8,1.0,7.0,15.857142857142858,24.142857142857142,-8.285714285714286,70.78571428571429,69.88571428571429,67.21428571428571,73.57142857142857,71.5,67.07142857142857,58.68571428571429,65.3,70.94285714285715,70.32857142857144,57.94285714285714,63.74285714285714,66.64285714285714,0.14285714285714285,5.0,6.0,21.5,14.0,7.5,72.08333333333336,69.2,73.48333333333332,60.16666666666666,62.23333333333332,73.34999999999998,52.96666666666665,70.71666666666668,70.15,62.93333333333334,63.116666666666696,69.33333333333336,62.166666666666664,0.8333333333333334,1,min,no cover,-4.5,39.5,-5.0,41.0,0.5,1.0,0.0,57.0,3.0,-1.5,0.0,0.0,-4.5,1,0,0
tbvschi_2016_10,tb,chi,2016,10,2.0,8.0,16.375,22.375,-6.0,71.8125,70.075,67.57499999999999,71.7375,70.94999999999999,67.2875,59.599999999999994,66.80000000000001,71.5375,72.6125,60.775000000000006,63.8625,67.7375,0.25,3.0,8.0,22.5,29.0,-6.5,64.81250000000001,70.0625,68.35,69.19999999999999,66.94999999999999,69.29999999999998,59.274999999999984,56.02500000000001,53.9625,55.7,60.16250000000002,55.80000000000001,60.67500000000001,0.375,1,chi,no cover,-2.5,45.0,0.0,45.5,2.5,0.0,0.0,77.0,2.0,-0.5,0.0,0.0,-2.5,1,0,0
nygvschi_2016_11,nyg,chi,2016,11,2.0,9.0,15.666666666666666,23.88888888888889,-8.222222222222221,70.52222222222223,68.02222222222223,63.03333333333333,73.0,69.19999999999999,66.27777777777777,60.955555555555556,67.01111111111112,73.42222222222222,74.47777777777779,61.62222222222223,61.98888888888889,66.51111111111112,0.2222222222222222,6.0,9.0,20.22222222222222,20.444444444444443,-0.2222222222222222,70.12222222222223,67.73333333333332,63.95555555555555,75.22222222222223,67.46666666666665,65.68888888888887,57.411111111111104,67.47777777777779,67.95555555555556,67.21111111111112,58.26666666666668,67.97777777777779,66.4111111111111,0.6666666666666666,0,nyg,no cover,-7.0,41.5,-7.0,45.5,0.0,1.0,0.0,40.0,12.0,-4.0,0.0,0.0,-7.0,0,1,1
