away_matchup_id,precip,dome,temperature,wind_mph
sea@cin_2015_5,0,0,72,7
was@atl_2015_5,0,1,70,0
jax@tb_2015_5,0,0,83,9
no@phi_2015_5,0,0,67,4
cle@bal_2015_5,0,0,68,0
lar@gb_2015_5,0,0,73,15
buf@ten_2015_5,0,0,72,2
ari@det_2015_5,0,1,70,0
ne@dal_2015_5,0,0,92,11
den@oak_2015_5,0,0,76,8
sf@nyg_2015_5,0,0,57,3
pit@lac_2015_5,0,0,76,5
atl@no_2015_6,0,1,70,0
was@nyj_2015_6,0,0,48,10
ari@pit_2015_6,0,0,42,8
kc@min_2015_6,0,0,62,15
cin@buf_2015_6,1,0,37,2
chi@det_2015_6,0,1,70,0
den@cle_2015_6,0,0,46,11
hou@jax_2015_6,0,0,70,13
mia@ten_2015_6,0,0,60,6
car@sea_2015_6,0,0,59,4
lac@gb_2015_6,0,0,49,8
bal@sf_2015_6,0,0,68,10
ne@ind_2015_6,0,1,70,0
nyg@phi_2015_6,0,0,44,6
sea@sf_2015_7,0,0,66,3
buf@jax_2015_7,0,0,51,3
tb@was_2015_7,1,0,70,8
atl@ten_2015_7,1,0,61,8
no@ind_2015_7,0,1,70,0
min@det_2015_7,0,1,70,0
pit@kc_2015_7,0,0,64,6
cle@lar_2015_7,0,1,70,0
hou@mia_2015_7,1,0,82,11
nyj@ne_2015_7,0,0,58,6
oak@lac_2015_7,0,0,77,5
dal@nyg_2015_7,1,0,59,10
phi@car_2015_7,0,0,64,0
bal@ari_2015_7,0,1,70,0
mia@ne_2015_8,1,0,53,9
det@kc_2015_8,0,0,57,3
tb@atl_2015_8,0,1,70,0
ari@cle_2015_8,0,0,63,17
sf@lar_2015_8,0,1,70,0
nyg@no_2015_8,0,1,70,0
min@chi_2015_8,0,0,61,7
lac@bal_2015_8,0,0,65,6
cin@pit_2015_8,1,0,63,9
ten@hou_2015_8,1,0,68,4
nyj@oak_2015_8,0,0,68,8
sea@dal_2015_8,1,0,63,0
gb@den_2015_8,0,0,52,4
ind@car_2015_8,1,0,62,5
cle@cin_2015_9,1,0,65,5
gb@car_2015_9,1,0,53,7
was@ne_2015_9,0,0,54,8
ten@no_2015_9,0,1,70,0
mia@buf_2015_9,0,0,47,6
lar@min_2015_9,0,0,57,14
jax@nyj_2015_9,0,0,57,7
oak@pit_2015_9,0,0,51,0
nyg@tb_2015_9,1,0,77,1
atl@sf_2015_9,1,0,58,2
den@ind_2015_9,0,1,70,0
phi@dal_2015_9,0,0,53,2
chi@lac_2015_9,1,0,61,7
buf@nyj_2015_10,1,0,56,9
det@gb_2015_10,0,0,57,6
dal@tb_2015_10,0,0,77,9
car@ten_2015_10,0,0,60,3
chi@lar_2015_10,0,1,70,0
no@was_2015_10,0,0,62,7
mia@phi_2015_10,0,0,59,9
cle@pit_2015_10,0,0,60,6
jax@bal_2015_10,0,0,63,5
min@oak_2015_10,1,0,57,15
ne@nyg_2015_10,0,0,54,5
kc@den_2015_10,0,0,59,1
ari@sea_2015_10,1,0,42,1
hou@cin_2015_10,1,0,49,2
ten@jax_2015_11,1,0,71,2
oak@det_2015_11,0,1,70,0
ind@atl_2015_11,0,1,70,0
nyj@hou_2015_11,0,0,52,5
tb@phi_2015_11,0,0,48,10
den@chi_2015_11,0,0,29,6
lar@bal_2015_11,0,0,47,10
dal@mia_2015_11,1,0,75,10
was@car_2015_11,0,0,52,8
kc@lac_2015_11,0,0,78,4
gb@min_2015_11,0,0,32,7
sf@sea_2015_11,0,0,48,3
cin@ari_2015_11,0,1,70,0
buf@ne_2015_11,0,0,28,5
phi@det_2015_12,0,1,70,0
car@dal_2015_12,1,0,68,11
chi@gb_2015_12,1,0,35,10
no@hou_2015_12,1,0,55,8
lar@cin_2015_12,1,0,45,6
min@atl_2015_12,0,1,70,0
nyg@was_2015_12,1,0,46,5
tb@ind_2015_12,0,1,70,0
buf@kc_2015_12,1,0,34,5
oak@ten_2015_12,1,0,57,2
lac@jax_2015_12,0,0,75,6
mia@nyj_2015_12,0,0,48,5
ari@sf_2015_12,0,0,57,2
pit@sea_2015_12,0,0,37,2
ne@den_2015_12,1,0,21,0
bal@cle_2015_12,0,0,42,8
gb@det_2015_13,0,1,70,0
nyj@nyg_2015_13,0,0,52,5
ari@lar_2015_13,0,1,70,0
atl@tb_2015_13,0,0,78,11
sea@min_2015_13,0,0,36,3
hou@buf_2015_13,0,0,49,4
bal@mia_2015_13,1,0,78,14
cin@cle_2015_13,0,0,46,5
jax@ten_2015_13,0,0,56,4
sf@chi_2015_13,0,0,46,4
den@lac_2015_13,0,0,71,7
kc@oak_2015_13,1,0,60,3
car@no_2015_13,0,1,70,0
phi@ne_2015_13,0,0,44,5
ind@pit_2015_13,0,0,35,2
dal@was_2015_13,0,0,44,2
min@ari_2015_14,0,1,70,0
buf@phi_2015_14,0,0,69,1
sf@cle_2015_14,0,0,62,8
det@lar_2015_14,0,1,70,0
no@tb_2015_14,0,0,80,12
ten@nyj_2015_14,0,0,65,4
pit@cin_2015_14,0,0,65,6
ind@jax_2015_14,0,0,77,8
lac@kc_2015_14,1,0,60,11
was@chi_2015_14,1,0,58,11
atl@car_2015_14,0,0,70,6
sea@bal_2015_14,0,0,66,3
oak@den_2015_14,0,0,39,2
dal@gb_2015_14,1,0,52,9
ne@hou_2015_14,1,0,52,3
nyg@mia_2015_14,1,0,75,5
tb@lar_2015_15,0,1,70,0
nyj@dal_2015_15,0,0,50,7
chi@min_2015_15,0,0,36,3
atl@jax_2015_15,0,0,68,7
hou@ind_2015_15,0,1,70,0
car@nyg_2015_15,0,0,41,4
ten@ne_2015_15,0,0,39,5
buf@was_2015_15,0,0,45,3
kc@bal_2015_15,0,0,43,3
cle@sea_2015_15,1,0,44,8
gb@oak_2015_15,1,0,51,10
den@pit_2015_15,0,0,36,3
mia@lac_2015_15,0,0,60,6
cin@sf_2015_15,1,0,52,5
