Player,Team,Pos,Injury,Status,Est. Return
Jahan Dotson,WAS,WR,Hamstring,Questionable,Subscribers Only
Rico Dowdle,DAL,RB,Ankle,IR,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Kyle Dugger,NE,S,Ankle,Questionable,Subscribers Only
Ashton Dulin,IND,WR,Foot,IR,Subscribers Only
Isaiah Dunn,SEA,CB,Hamstring,IR,Subscribers Only
Cobie Durant,LAR,CB,Hamstring,Questionable,Subscribers Only
Michael Dwumfour,HOU,DE,Undisclosed,IR,Subscribers Only
Jerrion Ealy,FA,RB,Suspension,Out,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Gus Edwards,BAL,RB,Knee,Questionable,Subscribers Only
Milo Eifler,WAS,LB,Hamstring,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Pat Elflein,CAR,C,Hip,IR,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR,Subscribers Only
Ezekiel Elliott,DAL,RB,Knee,Questionable,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Jermaine Eluemunor,LV,OT,Ankle,Questionable,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Drew Estrada,FA,WR,Leg,Questionable,Subscribers Only
Mike Evans,TB,WR,Ankle,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,IR,Subscribers Only
Matthias Farley,LV,S,Back,Questionable,Subscribers Only
Matt Farniok,DAL,C,Hamstring,Out,Subscribers Only
Simi Fehoko,DAL,WR,Shoulder,IR,Subscribers Only
Rashad Fenton,KC,CB,Hamstring,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR,Subscribers Only
Cameron Fleming,DEN,OT,Quadriceps,Out,Subscribers Only
Cor'Dale Flott,NYG,CB,Calf,Questionable,Subscribers Only
Trey Flowers,MIA,LB,Foot,IR,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Jerome Ford,CLE,RB,Ankle,IR,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Robert Foster,FA,WR,Hamstring,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Russell Gage,TB,WR,Hamstring,Questionable,Subscribers Only
Lamont Gaillard,FA,C,Calf,Questionable,Subscribers Only
Tipa Galeai,GB,LB,Hamstring,IR,Subscribers Only
Max Garcia,ARI,C,Shoulder,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Dennis Gardeck,ARI,LB,Ankle,Questionable,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Rashan Gary,GB,LB,Concussion,Questionable,Subscribers Only
Nick Gates,NYG,C,Lower Leg,PUP-R,Subscribers Only
Nate Gerry,FA,LB,Undisclosed,Questionable,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Luke Goedeke,TB,OG,Foot,Questionable,Subscribers Only
Kenny Golladay,NYG,WR,Knee - MCL,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Derrick Gore,FA,RB,Thumb,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Isaiah Graham-Mobley,FA,LB,Undisclosed,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Kenyon Green,HOU,OG,Shoulder,Questionable,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Calf,IR,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Dre Greenlaw,SF,LB,Calf,Questionable,Subscribers Only
Randy Gregory,DEN,LB,Knee - Meniscus,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Shaquill Griffin,JAX,CB,Back,Questionable,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Jeff Gunter,CIN,DE,Knee,Questionable,Subscribers Only
Vitaliy Gurman,FA,OG,Undisclosed,Out,Subscribers Only
Porter Gustin,FA,LB,Undisclosed,Out,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Joe Haeg,CLE,OT,Concussion,Questionable,Subscribers Only
Grant Haley,LAR,CB,Knee - ACL,IR,Subscribers Only
Breece Hall,NYJ,RB,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Knee,Questionable,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
