player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year
Lavonte David,7060,LB,TB,1,1,3.8,75.0,88.0,13.3,10.0,0,0,1,25.0,30,83.1,79.9,76.6,62.1,55.9,78.3,0,13.0,0.0,0,1,0,80.2,3,44,50,1,3,4,0,15,2,0.4,5.0,1,2022
Casey Hayward Jr.,7064,CB,ATL,1,1,21.5,50.0,100.0,19.0,9.5,0,0,0,0.0,2,50.3,55.0,77.9,,75.5,44.9,0,40.0,33.3,1,0,0,95.8,2,40,40,0,1,4,0,71,13,1.9,35.5,1,2022
Demario Davis,7079,LB,NO,1,0,7.0,33.3,100.0,37.0,12.3,0,0,1,33.3,20,69.4,79.3,79.2,61.0,73.9,55.1,0,10.0,0.0,0,0,0,43.8,1,39,39,0,1,3,0,10,6,0.3,10.0,1,2022
Rodney McLeod,7271,S,IND,1,0,,,100.0,,,0,0,0,,14,60.0,60.2,65.6,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,,1,2022
Tashaun Gipson Sr.,7288,S,SF,1,0,10.0,0.0,100.0,,23.0,0,1,0,0.0,28,70.8,80.3,75.8,,77.2,83.6,0,,0.0,0,0,0,39.6,0,24,24,0,1,1,0,0,0,0.0,,1,2022
Harrison Smith,7641,S,MIN,1,1,10.6,80.0,100.0,10.8,8.6,0,0,0,0.0,18,89.3,87.5,78.2,,36.5,72.4,1,15.0,0.0,0,0,0,48.8,4,43,43,2,5,5,0,26,15,0.6,6.5,1,2022
Darius Slay,7817,CB,PHI,1,0,14.7,33.3,100.0,13.0,4.3,0,1,0,0.0,24,75.3,73.6,77.6,,60.2,63.9,0,29.0,0.0,0,0,0,92.4,3,41,41,1,3,9,1,55,12,1.4,18.3,1,2022
Tyrann Mathieu,7850,S,NO,1,1,5.7,66.7,100.0,18.5,12.3,0,0,0,0.0,20,76.3,79.2,79.5,,66.2,84.9,0,5.0,0.0,0,0,0,70.1,2,39,39,1,2,3,0,6,5,0.2,3.0,1,2022
Logan Ryan,7864,S,TB,1,1,16.0,100.0,100.0,20.5,20.5,0,0,0,0.0,30,53.4,54.0,75.7,,63.7,82.6,0,17.0,0.0,0,0,0,118.8,2,45,45,1,2,2,0,33,1,0.8,16.5,1,2022
Duron Harmon,7872,S,LV,1,0,3.0,100.0,100.0,21.0,21.0,0,0,0,0.0,23,65.4,69.5,76.5,,65.9,82.8,0,10.0,0.0,0,0,0,108.3,1,22,22,1,2,1,0,10,7,0.5,10.0,1,2022
