player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,week,year
Jeremy Ruckert,84029,TE,NYJ,1,2.0,0,0.0,,0,0,0,100.0,1,0,22,0,27.9,,36.3,78.5,30.4,77.8,7,0,0,33.3,3,9,0,0,66.7,6,11.1,1,39.6,1,0,0.0,0,0,0,,,0.0,2,2022
Daniel Bellinger,84041,TE,NYG,1,1.0,0,100.0,,0,0,0,0.0,0,1,21,0,64.7,61.2,57.3,,59.5,76.2,16,0,16,0.0,0,21,0,1,90.5,19,4.8,1,158.3,1,1,19.0,4,16,15,15.0,16.0,0.84,2,2022
Michael Burton,9601,FB,KC,1,-2.0,0,100.0,,0,0,0,0.0,0,0,16,0,64.7,64.6,66.5,,65.4,0.0,0,0,2,0.0,0,1,0,1,100.0,1,0.0,0,79.2,1,0,0.0,0,2,4,4.0,2.0,2.0,2,2022
Jamison Crowder,9538,WR,BUF,1,8.0,0,100.0,,0,0,0,0.0,0,1,4,0,64.7,72.9,60.0,,59.7,0.0,0,0,16,0.0,0,17,0,1,88.2,15,88.2,15,118.8,1,0,11.8,2,16,8,8.0,16.0,1.07,2,2022
Dax Milne,84147,WR,WAS,1,3.0,0,100.0,,0,0,0,0.0,0,0,32,0,64.7,76.9,60.0,,60.0,0.0,0,0,6,0.0,0,2,0,1,100.0,2,100.0,2,91.7,1,0,0.0,0,6,3,3.0,6.0,3.0,2,2022
Ameer Abdullah,9487,HB,LV,1,-3.0,0,100.0,,0,0,0,0.0,0,1,23,0,68.3,64.0,67.8,74.9,76.0,0.0,0,0,23,21.4,3,14,0,1,71.4,10,0.0,0,118.8,1,0,7.1,1,23,26,26.0,23.0,2.3,2,2022
Melvin Gordon III,9448,HB,DEN,1,5.0,0,100.0,,0,0,0,0.0,0,0,10,0,64.7,73.6,65.9,77.4,58.7,0.0,0,0,6,18.2,2,11,2,1,81.8,9,9.1,1,91.7,1,0,9.1,1,6,1,1.0,6.0,0.67,2,2022
Kyle Philips,84463,WR,TEN,1,-2.0,0,100.0,,0,0,0,0.0,0,0,31,0,64.7,65.7,55.8,,56.3,0.0,0,0,5,0.0,0,10,0,1,90.0,9,60.0,6,87.5,1,0,40.0,4,5,7,7.0,5.0,0.56,2,2022
Ryan Griffin,7982,TE,CHI,1,16.0,0,100.0,,0,0,0,0.0,0,1,6,0,64.7,61.2,82.5,,79.6,66.7,2,0,18,0.0,0,3,1,1,100.0,3,33.3,1,118.8,1,0,0.0,0,18,2,2.0,18.0,6.0,2,2022
Kyle Juszczyk,7912,FB,SF,1,5.0,0,0.0,,0,0,0,,0,0,28,0,,65.2,50.5,73.0,52.3,16.7,2,0,0,16.7,2,12,0,0,75.0,9,50.0,6,39.6,1,0,8.3,1,0,0,,,0.0,2,2022
Avery Williams,42873,HB,ATL,1,-3.0,0,100.0,,0,0,0,0.0,0,0,2,0,64.7,61.2,59.5,65.9,57.5,0.0,0,0,6,50.0,6,12,0,1,41.7,5,16.7,2,91.7,1,0,8.3,1,6,9,9.0,6.0,1.2,2,2022
Josh Jacobs,45953,HB,LV,1,-4.0,0,100.0,,0,0,0,0.0,0,0,23,0,64.7,77.3,77.9,71.2,56.5,0.0,0,0,12,35.7,10,28,0,1,60.7,17,3.6,1,116.7,1,0,32.1,9,12,16,16.0,12.0,0.71,2,2022
Deonte Harty,91470,WR,NO,1,9.0,0,100.0,,0,0,0,0.0,0,0,20,0,64.7,73.6,45.1,,48.1,0.0,0,0,9,0.0,0,7,0,1,100.0,7,71.4,5,104.2,1,0,28.6,2,9,0,0.0,9.0,1.29,2,2022
Lil'Jordan Humphrey,42247,WR,NE,1,7.0,0,100.0,,0,0,0,0.0,0,0,19,0,64.7,61.2,68.6,,58.2,0.0,0,0,11,0.0,0,5,0,1,100.0,5,80.0,4,112.5,1,0,20.0,1,11,4,4.0,11.0,2.2,2,2022
Mitchell Wilcox,47234,TE,CIN,1,1.0,0,100.0,,0,0,0,0.0,0,0,7,0,64.7,61.2,60.9,,57.9,66.7,2,0,3,0.0,0,3,1,1,100.0,3,0.0,0,79.2,1,0,33.3,1,3,2,2.0,3.0,1.0,2,2022
Durham Smythe,47257,TE,MIA,1,3.0,0,100.0,,0,0,0,0.0,0,0,17,0,64.7,65.3,51.2,31.7,48.2,71.4,15,0,5,23.8,5,21,0,1,76.2,16,23.8,5,87.5,1,0,4.8,1,5,2,2.0,5.0,0.31,2,2022
Drew Sample,47259,TE,CIN,1,-4.0,0,100.0,,0,0,0,0.0,0,0,7,0,64.7,61.2,54.8,42.8,62.6,50.0,3,0,-4,83.3,5,6,0,1,16.7,1,0.0,0,79.2,1,0,0.0,0,-4,0,0.0,-4.0,-4.0,2,2022
Khalil Herbert,41668,HB,CHI,1,-2.0,1,100.0,,0,0,0,0.0,0,0,6,0,64.7,69.4,77.6,,62.8,0.0,0,0,3,0.0,0,4,0,1,100.0,4,0.0,0,79.2,1,0,0.0,0,3,5,5.0,3.0,0.75,2,2022
Josh Gordon,7618,WR,TEN,1,13.0,0,0.0,,0,0,0,,0,0,31,0,,,46.4,,54.1,0.0,0,0,0,0.0,0,8,1,0,87.5,7,37.5,3,39.6,1,0,62.5,5,0,0,,,0.0,2,2022
Stephen Sullivan,40411,TE,CAR,1,13.0,0,100.0,,0,0,0,0.0,0,1,5,0,64.7,61.2,79.2,,79.3,50.0,2,0,13,0.0,0,4,0,1,100.0,4,0.0,0,118.8,1,0,50.0,2,13,0,0.0,13.0,3.25,2,2022
Boston Scott,39462,HB,PHI,1,2.0,0,100.0,,0,0,0,0.0,0,0,24,0,64.7,69.4,55.3,,55.7,0.0,0,0,2,0.0,0,10,0,1,100.0,10,10.0,1,79.2,1,0,30.0,3,2,0,0.0,2.0,0.2,2,2022
Adam Prentice,35639,FB,NO,1,2.0,0,100.0,,0,0,0,0.0,0,0,20,1,64.7,18.4,28.5,,26.2,0.0,0,0,2,0.0,0,5,0,1,100.0,5,0.0,0,79.2,1,0,20.0,1,2,0,0.0,2.0,0.4,2,2022
Marquise Goodwin,7859,WR,SEA,1,4.0,0,0.0,,0,0,0,,0,0,29,0,,,51.8,,52.1,4.8,1,0,0,0.0,0,21,0,0,95.2,20,52.4,11,39.6,1,0,42.9,9,0,0,,,0.0,2,2022
Ray-Ray McCloud III,47895,WR,SF,1,13.0,0,100.0,,0,0,0,0.0,0,1,28,0,64.7,71.7,64.4,,63.8,0.0,0,0,16,0.0,0,11,0,1,81.8,9,27.3,3,118.8,1,0,72.7,8,16,3,3.0,16.0,1.78,2,2022
Parris Campbell,47940,WR,IND,1,17.0,0,0.0,,0,0,0,,0,0,14,0,,,46.9,,50.6,0.0,0,1,0,0.0,0,31,1,0,96.8,30,74.2,23,0.0,1,0,25.8,8,0,0,,,0.0,2,2022
Brandon Powell,48036,WR,LA,1,5.0,0,100.0,,0,0,0,0.0,0,0,26,0,64.7,69.3,58.6,,58.1,0.0,0,0,6,0.0,0,4,0,1,100.0,4,75.0,3,91.7,1,0,25.0,1,6,1,1.0,6.0,1.5,2,2022
Jeff Smith,48055,WR,NYJ,1,6.0,0,100.0,,0,0,0,0.0,0,1,22,0,64.7,61.2,70.8,,69.5,0.0,0,0,17,0.0,0,6,0,1,100.0,6,0.0,0,118.8,1,0,83.3,5,17,11,11.0,17.0,2.83,2,2022
Kendall Hinton,34045,WR,DEN,1,9.0,0,100.0,,0,0,0,0.0,0,1,10,0,64.7,61.2,55.3,,55.9,0.0,0,0,20,0.0,0,31,0,1,80.6,25,45.2,14,118.8,1,0,54.8,17,20,11,11.0,20.0,0.8,2,2022
