player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr,week,year
Josh Reynolds,11872,WR,DET,1,3,0,11,0,,0,,,0,0,,0,0,0,,50.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,1,0,73.4,71.4,0,12,0.0,0,15,1,100.0,15,116.7,1,33.3,0,12,7,7.0,12.0,0.8,2,2022
Isaiah McKenzie,11927,WR,BUF,1,3,0,4,0,-3.0,0,0.0,,0,0,100.0,1,0,0,21.6,22.0,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,10.0,1,66.7,,0,0,33.3,1,1,0,27.3,50.9,0,28,0.0,0,17,2,94.1,16,109.0,3,100.0,0,37,4,2.0,18.5,2.31,2,2022
Aaron Jones,11937,HB,GB,1,3,0,12,0,-3.5,2,100.0,,0,0,0.0,0,2,0,84.5,97.1,0,15,0.0,0,6,2,100.0,6,154.2,2,66.7,1,23,30,15.0,11.5,3.83,-4.0,0,100.0,,0,0,0.0,0,1,0,73.4,82.6,0,8,0.0,0,4,1,100.0,4,139.6,1,33.3,1,8,12,12.0,8.0,2.0,2,2022
Mo Alie-Cox,12078,TE,IND,1,3,0,14,0,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,48.7,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,2,2022
Johnny Mundt,12206,TE,MIN,1,3,0,18,0,,0,,,0,0,,0,0,0,,52.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,1,100.0,,0,0,0.0,0,1,0,28.6,56.5,0,17,0.0,0,2,1,100.0,2,118.8,1,33.3,0,17,13,13.0,17.0,8.5,2,2022
Kendrick Bourne,12270,WR,NE,1,3,0,19,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,,0,0,0.0,0,1,0,74.6,75.0,0,10,0.0,0,9,1,88.9,8,108.3,1,33.3,0,10,1,1.0,10.0,1.25,2,2022
Darrel Williams,13014,HB,ARZ,1,3,0,1,0,-2.0,0,0.0,,0,0,100.0,1,0,0,,51.9,0,0,0.0,0,1,0,100.0,1,39.6,1,33.3,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.5,49.5,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,2,2022
K.J. Osborn,23503,WR,MIN,1,3,0,18,0,,0,,,0,0,,0,0,0,,49.9,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,3.0,0,100.0,,0,0,0.0,0,1,0,70.5,57.0,0,10,0.0,0,20,1,95.0,19,108.3,1,33.3,0,10,7,7.0,10.0,0.53,2,2022
KhaDarel Hodge,26104,WR,ATL,1,3,0,2,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,68.3,89.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Bennett Skowronek,27948,WR,LA,1,3,0,26,0,,0,,,0,0,,0,0,0,,51.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,22.0,0,0.0,,0,0,,0,0,0,64.7,46.6,0,0,0.0,0,15,0,100.0,15,39.6,1,33.3,0,0,0,,,0.0,2,2022
Miles Sanders,40555,HB,PHI,1,3,0,24,0,,0,,,0,0,,0,0,0,,50.5,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,54.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Reggie Gilliam,40951,FB,BUF,1,3,0,4,0,-4.0,1,100.0,,0,0,0.0,0,1,0,78.7,96.8,0,11,0.0,0,1,1,100.0,1,152.1,1,33.3,1,11,15,15.0,11.0,11.0,29.0,0,0.0,,0,0,,0,0,0,64.7,53.3,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,2,2022
Ian Thomas,42130,TE,CAR,1,3,0,5,0,,0,,,0,0,,0,0,0,,43.7,0,0,50.0,2,4,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,0,50.0,,0,0,0.0,0,1,0,29.9,56.7,0,13,0.0,0,5,1,80.0,4,70.8,2,66.7,0,13,3,3.0,13.0,3.25,2,2022
Tyrie Cleveland,42134,WR,DEN,1,3,0,10,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,5.5,2,100.0,,0,0,0.0,0,1,0,29.9,57.0,0,16,0.0,0,8,2,87.5,7,118.8,2,66.7,0,28,17,8.5,14.0,4.0,2,2022
John Bates,42275,TE,WAS,1,3,0,32,0,,0,,,0,0,,0,0,0,,53.3,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,7.0,0,0.0,,0,0,,0,0,0,70.5,56.8,0,0,0.0,0,7,0,100.0,7,39.6,1,33.3,0,0,0,,,0.0,2,2022
Nick Chubb,45783,HB,CLV,1,3,0,8,0,-3.5,0,100.0,,0,0,0.0,0,1,0,84.5,93.8,0,15,0.0,0,3,2,100.0,3,112.5,2,66.7,0,22,29,14.5,11.0,7.33,,0,,,0,0,,0,0,0,73.4,71.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Chase Edmonds,45851,HB,MIA,1,3,0,17,0,-5.0,0,0.0,0.0,0,1,,0,0,0,,49.3,0,0,0.0,0,3,0,66.7,2,39.6,1,33.3,0,0,0,,,0.0,2.0,0,0.0,,0,0,,0,0,0,64.7,50.0,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,2,2022
Foster Moreau,47043,TE,LV,1,3,0,23,0,-7.0,0,100.0,100.0,1,1,0.0,0,0,0,78.7,52.7,0,-6,16.7,1,6,1,66.7,4,79.2,1,33.3,0,-6,1,1.0,-6.0,-1.5,2.0,0,100.0,100.0,1,1,0.0,0,1,0,73.4,68.8,0,17,7.7,1,13,2,84.6,11,89.6,2,66.7,0,11,7,3.5,5.5,1.0,2,2022
Nick Westbrook-Ikhine,47861,WR,TEN,1,3,0,31,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,15.0,0,0.0,0.0,0,1,,0,0,0,68.3,62.4,1,0,0.0,0,10,0,100.0,10,0.0,2,66.7,0,0,0,,,0.0,2,2022
Allen Lazard,48135,WR,GB,1,3,0,12,0,,0,,,0,0,,0,0,0,,45.6,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,6.5,0,100.0,,0,0,0.0,0,2,0,72.1,68.2,0,8,0.0,0,8,2,87.5,7,133.3,2,66.7,1,13,1,0.5,6.5,1.86,2,2022
Eno Benjamin,57136,HB,ARZ,1,3,0,1,0,-6.0,1,100.0,,0,0,0.0,0,0,0,78.7,80.0,0,9,0.0,0,4,1,100.0,4,104.2,1,33.3,0,9,15,15.0,9.0,2.25,,0,,,0,0,,0,0,0,75.6,58.9,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,2,2022
Travis Etienne,57185,HB,JAX,1,3,0,15,0,-5.0,0,100.0,,0,0,0.0,0,2,0,84.5,95.9,0,14,0.0,0,3,2,100.0,3,118.8,2,66.7,0,26,36,18.0,13.0,8.67,,0,,,0,0,,0,0,0,70.5,61.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Noah Gray,60878,TE,KC,1,3,0,16,0,,0,,,0,0,,0,0,0,,40.6,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.5,69.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Jerry Jeudy,61103,WR,DEN,1,3,0,10,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,21.0,0,0.0,,0,0,,0,0,0,64.7,68.8,0,0,0.0,0,3,0,66.7,2,39.6,1,33.3,0,0,0,,,0.0,2,2022
Kadarius Toney,61245,WR,NYG,1,3,0,21,0,-3.0,0,100.0,,0,0,0.0,0,0,0,84.5,64.5,0,2,0.0,0,2,2,100.0,2,79.2,2,66.7,0,0,6,3.0,0.0,0.0,-3.0,0,100.0,,0,0,0.0,0,0,0,45.8,55.2,0,2,0.0,0,10,2,90.0,9,79.2,2,66.7,0,0,6,3.0,0.0,0.0,2,2022
Christian Watson,66581,WR,GB,1,3,0,12,0,-4.0,2,100.0,,0,0,0.0,0,0,0,84.5,93.2,0,9,0.0,0,2,2,100.0,2,87.5,2,66.7,0,10,18,9.0,5.0,5.0,-3.3,2,100.0,,0,0,0.0,0,0,0,70.5,66.3,0,9,0.0,0,5,3,100.0,5,79.2,3,100.0,0,9,19,6.3,3.0,1.8,2,2022
Tanner Hudson,66924,TE,NYG,1,3,0,21,0,,0,,,0,0,,0,0,0,,54.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,12.0,0,0.0,,0,0,,0,0,0,72.1,72.1,0,0,0.0,0,7,0,100.0,7,39.6,1,33.3,0,0,0,,,0.0,2,2022
Javonte Williams,77803,HB,DEN,1,3,0,10,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,64.7,59.4,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Kyle Pitts,83964,TE,ATL,1,3,0,2,0,,0,,,0,0,,0,0,0,,50.3,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,8.0,0,50.0,0.0,0,1,0.0,0,0,0,64.7,49.1,0,6,0.0,0,18,1,88.9,16,56.3,2,66.7,0,6,0,0.0,6.0,0.38,2,2022
Romeo Doubs,84329,WR,GB,1,3,0,12,0,-0.7,0,66.7,,0,0,0.0,0,0,0,84.5,85.0,0,20,0.0,0,5,2,100.0,5,95.1,3,100.0,0,27,30,15.0,13.5,5.4,1.0,0,0.0,,0,0,,0,0,0,74.6,73.5,0,0,0.0,0,2,0,100.0,2,39.6,1,33.3,0,0,0,,,0.0,2,2022
Kenneth Walker III,97199,HB,SEA,1,3,0,29,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,-5.0,0,100.0,,0,0,0.0,0,0,0,70.5,58.3,0,2,0.0,0,1,1,100.0,1,79.2,1,33.3,0,2,7,7.0,2.0,2.0,2,2022
George Pickens,99229,WR,PIT,1,3,0,25,0,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,61.6,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,2,2022
Justin Watson,66915,WR,KC,1,2,0,16,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,9.0,0,100.0,,0,0,0.0,0,0,0,70.5,87.3,0,9,0.0,0,5,1,100.0,5,104.2,1,50.0,0,9,0,0.0,9.0,1.8,2,2022
Cam Sims,47908,WR,WAS,1,2,0,32,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Kenneth Gainwell,77737,HB,PHI,1,2,0,24,0,0.0,0,0.0,,0,0,100.0,1,0,0,24.1,25.2,1,0,0.0,0,2,0,50.0,1,0.0,1,50.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,28.6,41.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Tony Jones Jr.,40498,HB,NO,1,2,0,20,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,68.3,50.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Demarcus Robinson,10760,WR,BLT,1,2,0,3,0,,0,,,0,0,,0,0,0,,57.1,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.5,80.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Tyler Boyd,10689,WR,CIN,1,2,0,7,0,,0,,,0,0,,0,0,0,,47.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,7.5,0,100.0,100.0,1,1,0.0,0,0,0,74.6,60.2,0,16,0.0,0,37,2,97.3,36,102.1,2,100.0,0,17,2,1.0,8.5,0.47,2,2022
Darnell Mooney,48236,WR,CHI,1,2,0,6,0,-5.0,0,100.0,,0,0,0.0,0,0,0,78.7,57.6,0,-4,0.0,0,3,1,100.0,3,79.2,1,50.0,0,-4,1,1.0,-4.0,-1.33,-5.0,0,100.0,,0,0,0.0,0,0,0,68.3,53.9,0,-4,0.0,0,11,1,100.0,11,79.2,1,50.0,0,-4,1,1.0,-4.0,-0.36,2,2022
Jeff Wilson Jr.,29413,HB,SF,1,2,0,28,0,,0,,,0,0,,0,0,0,,52.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.4,90.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Bryan Edwards,28486,WR,ATL,1,2,0,2,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.0,0,2,0.0,0,2,1,100.0,2,79.2,1,50.0,0,2,1,1.0,2.0,1.0,2,2022
Cade Otton,61071,TE,TB,1,2,0,30,0,,0,,,0,0,,0,0,0,,43.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,48.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Mark Ingram II,6180,HB,NO,1,2,0,20,0,-7.0,0,100.0,,0,0,0.0,0,0,0,78.7,80.1,0,0,0.0,0,1,1,100.0,1,79.2,1,50.0,0,0,7,7.0,0.0,0.0,,0,,,0,0,,0,0,0,68.3,59.9,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Robert Tonyan,12193,TE,GB,1,2,0,12,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,94.3,0,9,0.0,0,3,1,100.0,3,104.2,1,50.0,0,9,9,9.0,9.0,3.0,,0,,,0,0,,0,0,0,64.7,56.7,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,2,2022
Alec Ingold,34934,FB,MIA,1,2,0,17,0,,0,,,0,0,,0,0,0,,47.7,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,52.1,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,2,2022
Ezekiel Elliott,10638,HB,DAL,1,2,0,9,0,,0,,,0,0,,0,0,0,,43.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,27.3,29.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
James Robinson,22425,HB,JAX,1,2,0,15,0,,0,,,0,0,,0,0,0,,52.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,60.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Eric Saubert,11929,TE,DEN,1,2,0,10,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,90.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,2,2022
Khalil Shakir,84140,WR,BUF,1,2,0,4,0,,0,,,0,0,,0,0,0,,49.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,0,0.0,,0,0,,0,0,0,,51.1,0,0,0.0,0,3,0,100.0,3,39.6,1,50.0,0,0,0,,,0.0,2,2022
Trent Sherfield,48021,WR,MIA,1,2,0,17,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,55.5,0,-3,0.0,0,3,1,100.0,3,79.2,1,50.0,0,-3,0,0.0,-3.0,-1.0,,0,,,0,0,,0,0,0,68.3,50.9,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,2,2022
Jauan Jennings,48027,WR,SF,1,2,0,28,0,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0.5,0,50.0,,0,0,0.0,0,0,0,64.7,51.8,0,4,0.0,0,8,1,100.0,8,56.3,2,100.0,0,4,6,6.0,4.0,0.5,2,2022
Devin Duvernay,40006,WR,BLT,1,2,0,3,0,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,68.1,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,2,2022
DeVante Parker,9447,WR,NE,1,2,0,19,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,32.0,0,0.0,,0,0,,0,0,0,,49.3,1,0,0.0,0,5,0,100.0,5,0.0,1,50.0,0,0,0,,,0.0,2,2022
Danny Gray,121926,WR,SF,1,2,0,28,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,21.5,0,0.0,,0,0,,0,0,0,,56.5,0,0,0.0,0,2,0,100.0,2,39.6,2,100.0,0,0,0,,,0.0,2,2022
Cameron Brate,9207,TE,TB,1,2,0,30,0,,0,,,0,0,,0,0,0,,46.0,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,17.0,0,0.0,0.0,0,1,,0,0,0,68.3,58.1,0,0,0.0,0,8,0,100.0,8,39.6,1,50.0,0,0,0,,,0.0,2,2022
Jerick McKinnon,8731,HB,KC,1,2,0,16,0,-6.0,0,100.0,,0,0,0.0,0,0,0,78.7,72.2,0,-5,0.0,0,2,1,100.0,2,79.2,1,50.0,0,-5,1,1.0,-5.0,-2.5,,0,,,0,0,,0,0,0,72.1,74.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Damien Harris,35134,HB,NE,1,2,0,19,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,68.3,62.0,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Ty Johnson,45769,HB,NYJ,1,2,0,22,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,64.7,50.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
A.J. Dillon,57165,HB,GB,1,2,0,12,0,,0,,,0,0,,0,0,0,,47.5,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,56.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,2,2022
David Montgomery,45719,HB,CHI,1,2,0,6,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,62.6,0,7,0.0,0,2,1,100.0,2,95.8,1,50.0,0,7,9,9.0,7.0,3.5,-2.0,0,100.0,,0,0,0.0,0,0,0,73.4,61.6,0,7,0.0,0,1,1,100.0,1,95.8,1,50.0,0,7,9,9.0,7.0,7.0,2,2022
Olamide Zaccheaus,44920,WR,ATL,1,2,0,2,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,8.0,0,100.0,,0,0,0.0,0,1,0,70.5,67.9,0,10,0.0,0,7,1,85.7,6,108.3,1,50.0,0,10,2,2.0,10.0,1.67,2,2022
Devin Singletary,40485,HB,BUF,1,2,0,4,0,,0,,,0,0,,0,0,0,,51.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.5,52.3,0,0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,2,2022
Kareem Hunt,11841,HB,CLV,1,2,0,8,0,-6.0,0,100.0,,0,0,0.0,0,1,0,78.7,91.3,0,11,0.0,0,2,1,100.0,2,112.5,1,50.0,0,11,17,17.0,11.0,5.5,4.0,1,100.0,,0,0,0.0,0,0,0,73.4,61.7,0,5,0.0,0,2,1,100.0,2,87.5,1,50.0,0,5,1,1.0,5.0,2.5,2,2022
Cam Akers,57206,HB,LA,1,2,0,26,0,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,68.3,62.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Andre Baccellia,47901,WR,ARZ,1,2,0,1,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,65.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Noah Fant,42388,TE,SEA,1,2,0,29,0,,0,,,0,0,,0,0,0,,48.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,51.3,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,2,2022
Quez Watkins,61664,WR,PHI,1,2,0,24,0,,0,,,0,0,,0,0,0,,48.8,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.4,77.1,0,0,0.0,0,19,0,84.2,16,0.0,0,0.0,0,0,0,,,0.0,2,2022
Jalen Reagor,61697,WR,MIN,1,2,0,18,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,62.6,0,7,0.0,0,1,1,100.0,1,95.8,1,50.0,0,7,8,8.0,7.0,7.0,3.0,0,0.0,,0,0,,0,0,0,70.5,56.2,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,2,2022
Will Dissly,30762,TE,SEA,1,2,0,29,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,80.1,0,2,0.0,0,1,1,100.0,1,79.2,1,50.0,0,2,3,3.0,2.0,2.0,,0,,,0,0,,0,0,0,64.7,54.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,2,2022
Zach Pascal,12303,WR,PHI,1,2,0,24,0,,0,,,0,0,,0,0,0,,50.7,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,2.0,0,100.0,,0,0,0.0,0,0,0,68.3,53.2,0,6,0.0,0,12,1,83.3,10,91.7,1,50.0,0,6,4,4.0,6.0,0.6,2,2022
Albert Okwuegbunam,41933,TE,DEN,1,2,0,10,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,6.5,0,0.0,0.0,0,1,100.0,1,0,0,25.5,36.8,0,0,0.0,0,8,0,87.5,7,39.6,2,100.0,0,0,0,,,0.0,2,2022
Rhamondre Stevenson,98689,HB,NE,1,2,0,19,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,73.1,0,4,0.0,0,2,1,100.0,2,83.3,1,50.0,0,4,4,4.0,4.0,2.0,,0,,,0,0,,0,0,0,64.7,50.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
Kylen Granson,40630,TE,IND,1,2,0,14,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2.0,0,100.0,,0,0,0.0,0,0,0,74.6,63.5,0,6,0.0,0,13,1,100.0,13,91.7,1,50.0,0,6,4,4.0,6.0,0.46,2,2022
River Cracraft,47417,WR,MIA,1,2,0,17,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,4.0,0,50.0,0.0,0,1,0.0,0,1,0,68.3,72.3,0,2,0.0,0,4,1,100.0,4,95.8,2,100.0,1,2,0,0.0,2.0,0.5,2,2022
Hassan Haskins,83701,HB,TEN,1,1,0,31,0,,0,,,0,0,,0,0,0,,53.9,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,52.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Hunter Henry,10669,TE,NE,1,1,0,19,0,,0,,,0,0,,0,0,0,,47.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,48.0,0,0,0.0,0,10,0,80.0,8,0.0,0,0.0,0,0,0,,,0.0,2,2022
Jeremy Ruckert,84029,TE,NYJ,1,1,0,22,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2.0,0,0.0,,0,0,100.0,1,0,0,25.5,27.5,0,0,0.0,0,1,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0,2,2022
Daniel Bellinger,84041,TE,NYG,1,1,0,21,0,,0,,,0,0,,0,0,0,,47.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,57.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Michael Burton,9601,FB,KC,1,1,0,16,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,2,2022
