player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year
Elijah Mitchell,57272,HB,SF,1,6,1,1,39.0,16,0,41,0,0,1,18.0,50.0,2,2,28,0,5,70.6,71.9,0.0,,72.4,57.0,79.8,44.8,16,1,0,0,3,13,0,0,0,6,0,41,18,3.0,6.8,0.0,1,1,2022
Breece Hall,97636,HB,NYJ,1,6,1,0,0.0,0,0,23,1,1,1,24.0,66.7,1,1,22,1,1,21.4,49.4,75.7,,62.4,30.0,62.1,60.0,14,0,38,6,26,7,0,0,8,12,0,23,24,4.0,3.8,1.46,5,1,2022
Aaron Jones,11937,HB,GB,1,5,2,1,59.2,29,0,49,0,0,2,22.0,110.0,2,3,12,0,2,71.4,68.5,81.3,,73.0,56.5,77.4,60.0,29,0,27,3,28,8,0,0,5,8,0,49,22,4.4,9.8,0.96,3,1,2022
Baker Mayfield,46518,QB,CAR,1,4,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,1,5,5,1,20.5,47.0,0.0,53.8,,,44.9,60.0,7,1,0,0,0,18,7,1,0,4,1,5,0,0.0,1.0,,2,1,2022
Kyler Murray,38334,QB,ARZ,1,4,1,1,72.4,21,0,19,0,0,0,1.0,0.0,2,1,1,1,2,79.5,59.0,78.5,55.7,,,68.9,60.0,21,0,0,0,0,18,10,1,0,4,0,29,18,3.6,5.8,,0,1,2022
Matt Breida,12271,HB,NYG,1,5,1,0,0.0,0,0,24,0,0,1,17.0,68.0,0,1,21,0,4,69.7,64.9,76.6,,45.4,55.0,66.9,60.0,9,0,0,0,3,8,0,0,0,5,0,24,17,3.4,4.8,0.0,1,1,2022
Kenneth Gainwell,77737,HB,PHI,1,5,0,0,0.0,0,0,20,0,0,0,17.0,0.0,0,2,24,0,0,70.9,68.4,76.4,,37.4,67.6,71.2,60.0,7,0,12,2,10,6,0,0,4,7,1,20,17,3.4,4.0,1.2,5,1,2022
Raheem Mostert,9783,HB,MIA,1,5,0,0,0.0,0,0,16,0,2,0,17.0,113.3,1,2,17,0,2,72.2,59.7,77.5,,69.7,60.5,58.7,60.0,11,0,16,1,13,11,0,0,1,6,0,16,17,3.4,3.2,1.23,3,1,2022
Justin Herbert,28237,QB,LAC,1,3,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,0,27,0,0,79.3,79.8,79.2,79.5,,,60.0,60.0,3,0,0,0,0,31,3,1,0,3,0,1,0,0.0,0.3,,0,1,2022
Matt Ryan,4317,QB,IND,1,2,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,1,2,14,4,0,19.8,58.9,80.3,61.2,,,46.2,60.3,10,0,0,0,0,36,12,2,0,2,0,10,4,1.0,2.5,,1,1,2022
Mark Ingram II,6180,HB,NO,1,4,0,0,0.0,0,0,22,0,0,0,14.0,0.0,0,2,20,1,0,17.6,49.9,73.7,,26.3,25.3,71.2,59.6,7,0,1,1,10,7,0,0,1,5,0,22,14,3.5,5.5,0.1,4,1,2022
Taysom Hill,12112,TE,NO,1,4,1,1,70.4,57,0,81,0,0,1,33.0,165.0,2,2,20,0,4,69.4,68.8,74.8,,,57.8,77.8,48.6,57,0,2,1,4,12,0,0,1,5,1,81,33,8.25,20.3,0.5,0,1,2022
Boston Scott,39462,HB,PHI,1,4,0,0,0.0,0,0,10,0,0,0,12.0,0.0,0,1,24,0,1,68.6,69.4,74.9,,77.0,54.8,70.4,60.0,8,0,0,0,6,6,0,0,0,4,1,10,12,3.0,2.5,0.0,3,1,2022
Joshua Kelley,13750,HB,LAC,1,4,0,0,0.0,0,0,21,0,0,0,19.0,0.0,1,2,27,0,1,71.2,67.2,73.0,,,70.4,64.4,60.0,12,0,14,2,10,7,0,0,2,6,0,21,19,4.75,5.3,1.4,2,1,2022
Travis Etienne,57185,HB,JAX,1,4,3,1,57.4,27,0,47,1,0,3,30.0,375.0,2,2,15,1,1,19.1,52.9,77.6,,20.0,26.5,83.1,60.0,27,0,18,2,22,7,0,0,4,6,0,47,30,7.5,11.8,0.82,2,1,2022
Eno Benjamin,57136,HB,ARZ,1,4,2,1,57.1,16,0,28,0,2,2,19.0,271.4,1,1,1,0,1,72.6,81.6,77.1,,80.8,70.2,82.4,60.0,16,0,33,3,12,6,0,0,3,7,0,28,19,4.75,7.0,2.75,2,1,2022
Curtis Samuel,11795,WR,WAS,1,4,1,0,0.0,0,0,17,0,2,1,11.0,68.8,1,1,32,1,1,22.2,74.2,77.5,,,79.8,41.5,74.9,11,0,55,8,36,12,0,0,10,12,0,17,11,2.75,4.3,1.53,2,1,2022
Jerick McKinnon,8731,HB,KC,1,4,0,1,81.8,18,0,22,0,1,0,10.0,35.7,1,1,16,0,1,70.6,69.4,76.0,,31.2,63.4,75.5,60.0,18,0,27,3,17,5,0,0,4,7,0,22,10,2.5,5.5,1.59,3,1,2022
Jacoby Brissett,10725,QB,CLV,1,1,0,0,0.0,0,0,2,0,0,0,1.0,0.0,0,1,8,0,0,79.7,46.9,0.0,48.1,,,57.5,60.0,4,2,0,0,0,37,8,3,0,1,0,10,17,4.25,2.5,,0,1,2022
Brandon Bolden,7469,HB,LV,1,3,1,0,0.0,0,0,7,0,0,1,5.0,33.3,0,0,23,0,2,69.0,60.5,73.8,,72.3,73.3,53.7,,5,0,21,2,11,3,0,0,2,5,0,7,5,1.67,2.3,1.91,1,1,2022
Trace McSorley,32819,QB,ARZ,1,1,0,0,0.0,0,0,1,0,0,0,0.0,0.0,1,1,1,0,0,70.6,60.8,71.5,61.0,,,59.9,,14,0,0,0,0,1,19,2,0,1,0,20,4,1.33,6.7,,0,1,2022
Nyheim Hines,48103,HB,IND,1,3,0,0,0.0,0,0,4,0,0,0,5.0,0.0,0,0,14,0,1,24.8,65.5,79.2,,,84.5,44.5,60.0,3,0,50,6,22,4,0,0,6,9,0,4,5,1.67,1.3,2.27,2,1,2022
