player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year
Jawaan Taylor,41665,T,JAX,1,100.0,0,15,66.7,79.0,53.0,0,0,41,100.0,100.0,100.0,0,0,0,65,0,0,1,65,45,45,0,64,20,0,1,2022
Nicholas Petit-Frere,82003,T,TEN,1,100.0,0,31,65.5,62.5,73.5,0,0,34,100.0,100.0,100.0,1,0,0,65,0,0,0,65,39,39,0,65,26,0,1,2022
Taylor Lewan,8646,T,TEN,1,100.0,0,31,67.1,79.2,64.5,0,0,34,100.0,100.0,100.0,1,0,0,63,0,0,63,63,39,39,0,0,24,0,1,2022
Dan Moore Jr.,60120,T,PIT,1,100.0,0,25,68.7,76.8,57.3,1,0,40,100.0,100.0,98.7,1,1,0,63,0,0,63,63,43,43,0,0,20,0,1,2022
Kevin Dotson,46735,G,PIT,1,100.0,0,25,56.4,65.3,50.1,1,0,40,100.0,100.0,98.7,0,1,0,63,0,63,0,63,43,43,0,0,20,0,1,2022
Chukwuma Okorafor,46302,T,PIT,1,100.0,0,25,70.1,68.2,68.7,0,1,40,100.0,100.0,98.7,0,1,0,63,0,0,0,63,43,43,0,63,20,0,1,2022
James Daniels,45576,G,PIT,1,100.0,0,25,64.8,79.3,56.2,0,0,40,100.0,100.0,100.0,0,0,0,63,0,0,0,63,43,43,63,0,20,0,1,2022
Shaq Mason,9564,G,TB,1,100.0,0,30,54.9,66.4,51.4,1,0,29,100.0,100.0,98.3,0,1,0,62,0,0,0,62,29,29,62,0,33,0,1,2022
Brian O'Neill,46854,T,MIN,1,100.0,0,18,80.6,60.4,90.0,2,1,33,100.0,100.0,95.5,0,3,0,62,0,0,0,62,34,34,0,62,28,0,1,2022
Tristan Wirfs,64818,T,TB,1,100.0,0,30,79.0,71.3,81.8,0,2,29,100.0,100.0,96.6,0,2,0,62,0,0,0,62,29,29,0,62,33,0,1,2022
Ed Ingram,59819,G,MIN,1,100.0,0,18,79.3,31.2,87.4,2,2,33,100.0,100.0,90.9,0,5,1,62,0,0,0,62,34,34,62,0,28,0,1,2022
Garrett Bradbury,46013,C,MIN,1,100.0,0,18,59.5,27.8,67.0,1,3,33,100.0,100.0,93.9,0,4,0,62,62,0,0,62,34,34,0,0,28,0,1,2022
Ezra Cleveland,41973,G,MIN,1,100.0,0,18,72.0,69.3,69.3,1,1,33,100.0,100.0,97.0,0,2,0,62,0,62,0,62,34,34,0,0,28,0,1,2022
Robert Hainsey,59980,C,TB,1,100.0,0,30,67.6,36.8,72.6,0,1,29,100.0,100.0,98.3,0,1,0,62,62,0,0,62,29,29,0,0,33,0,1,2022
Matt Farniok,41585,G,DAL,1,100.0,0,9,48.7,26.7,60.5,3,3,43,100.0,100.0,93.0,0,6,0,62,0,62,0,62,47,47,0,0,15,0,1,2022
Luke Goedeke,77548,G,TB,1,100.0,0,30,49.6,31.8,61.1,0,3,29,100.0,100.0,94.8,1,3,0,62,0,62,0,62,29,29,0,0,33,0,1,2022
