player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr,week,year
D.J. Chark Jr.,47702,WR,DET,1,4,0,11,,0,,,0,0,,0,0,0,,54.3,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,0,21.5,0,0.0,0.0,0,2,,0,0,0,,52.0,0,0,0.0,0,19,0,100.0,19,39.6,2,50.0,0,0,0,,,0.0,2,2022
Saquon Barkley,45791,HB,NYG,1,4,0,21,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,2.8,0,75.0,,0,0,0.0,0,0,0,70.5,61.9,0,9,12.1,4,33,3,87.9,29,81.3,4,100.0,0,16,6,2.0,5.3,0.55,2,2022
Travis Homer,45859,HB,SEA,1,4,0,29,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,0.5,0,100.0,,0,0,0.0,0,1,0,68.3,72.4,0,8,30.8,4,13,2,61.5,8,97.9,2,50.0,0,15,14,7.0,7.5,1.88,2,2022
Sammy Watkins,8639,WR,GB,1,4,0,12,24.5,0,100.0,,0,0,0.0,0,2,0,68.3,83.3,0,55,0.0,0,9,2,88.9,8,118.8,2,50.0,0,69,20,10.0,34.5,8.63,0,10.0,0,50.0,,0,0,0.0,0,1,0,64.7,66.5,0,24,0.0,0,9,1,100.0,9,93.8,2,50.0,0,24,10,10.0,24.0,2.67,2,2022
Pharaoh Brown,12247,TE,HST,1,4,0,13,,0,,,0,0,,0,0,0,,54.8,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,6.7,1,66.7,100.0,1,1,0.0,0,1,0,68.3,62.7,0,18,16.7,3,18,2,83.3,15,85.4,3,75.0,0,20,14,7.0,10.0,1.33,2,2022
Mike Evans,8642,WR,TB,1,4,0,30,11.0,0,100.0,,0,0,0.0,0,2,0,68.3,75.6,0,41,0.0,0,8,2,100.0,8,118.8,2,50.0,0,48,26,13.0,24.0,6.0,0,21.0,0,50.0,0.0,0,1,0.0,0,1,0,64.7,64.8,0,13,0.0,0,11,1,100.0,11,70.8,2,50.0,0,13,1,1.0,13.0,1.18,2,2022
Mecole Hardman,42683,WR,KC,1,4,0,16,8.0,0,50.0,,0,0,50.0,1,1,0,28.9,55.1,0,11,0.0,0,13,1,84.6,11,66.7,2,50.0,0,11,0,0.0,11.0,1.0,0,15.0,0,100.0,,0,0,0.0,0,1,0,68.3,90.3,0,30,0.0,0,6,2,83.3,5,118.8,2,50.0,0,38,8,4.0,19.0,7.6,2,2022
Clyde Edwards-Helaire,57279,HB,KC,1,4,0,16,-5.0,0,100.0,,0,0,0.0,0,1,0,64.7,71.3,0,10,12.5,1,8,1,75.0,6,108.3,1,25.0,0,10,15,15.0,10.0,1.67,0,5.0,2,100.0,,0,0,0.0,0,1,0,64.7,77.7,0,21,0.0,0,4,1,100.0,4,118.8,1,25.0,0,21,16,16.0,21.0,5.25,2,2022
David Sills,34579,WR,NYG,1,4,0,21,,0,,,0,0,,0,0,0,,58.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,8.7,0,66.7,,0,0,0.0,0,2,0,68.3,61.9,0,24,0.0,0,38,2,92.1,35,109.0,3,75.0,0,37,19,9.5,18.5,1.06,2,2022
Equanimeous St. Brown,47967,WR,CHI,1,4,0,6,16.0,0,100.0,,0,0,0.0,0,1,0,64.7,88.9,0,30,0.0,0,3,1,100.0,3,118.8,1,25.0,0,30,14,14.0,30.0,10.0,0,8.5,0,50.0,100.0,1,1,0.0,0,0,0,64.7,56.7,0,9,0.0,0,7,1,100.0,7,62.5,2,50.0,0,9,0,0.0,9.0,1.29,2,2022
Corey Davis,11760,WR,NYJ,1,4,0,22,,0,,,0,0,,0,0,0,,55.2,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,32.3,0,50.0,100.0,1,1,0.0,0,2,0,70.5,77.3,0,66,0.0,0,22,2,90.9,20,135.4,4,100.0,1,83,24,12.0,41.5,4.15,2,2022
Mike Gesicki,47153,TE,MIA,1,4,0,17,6.5,0,100.0,,0,0,0.0,0,1,0,68.3,72.1,0,12,0.0,0,11,2,100.0,11,108.3,2,50.0,0,20,7,3.5,10.0,1.82,0,3.0,0,100.0,,0,0,0.0,0,0,0,64.7,51.5,0,7,12.5,2,16,1,81.3,13,95.8,1,25.0,0,7,4,4.0,7.0,0.54,2,2022
Greg Dortch,42237,WR,ARZ,1,4,0,1,,0,,,0,0,,0,0,0,,50.7,0,0,0.0,0,15,0,86.7,13,0.0,0,0.0,0,0,0,,,0.0,0,4.7,2,100.0,,0,0,0.0,0,2,0,70.5,70.1,0,29,0.0,0,24,3,95.8,23,118.8,3,75.0,0,50,36,12.0,16.7,2.17,2,2022
Dalton Schultz,47304,TE,DAL,1,4,0,9,,0,,,0,0,,0,0,0,,51.4,0,0,0.0,0,11,0,81.8,9,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,66.7,0.0,0,1,0.0,0,0,1,68.3,52.4,0,9,11.8,2,17,2,88.2,15,82.6,3,75.0,0,18,16,8.0,9.0,1.2,2,2022
Zay Jones,11792,WR,JAX,1,4,0,15,4.5,0,100.0,,0,0,0.0,0,1,0,68.3,81.1,0,10,0.0,0,6,2,100.0,6,104.2,2,50.0,0,18,9,4.5,9.0,3.0,0,7.5,0,50.0,0.0,0,1,0.0,0,0,0,64.7,52.7,0,5,0.0,0,18,1,88.9,16,56.3,2,50.0,0,5,0,0.0,5.0,0.31,2,2022
Jahan Dotson,84375,WR,WAS,1,4,0,32,6.5,0,100.0,100.0,1,1,0.0,0,2,0,68.3,75.1,0,9,0.0,0,17,2,94.1,16,127.1,2,50.0,1,10,3,1.5,5.0,0.63,0,4.0,0,100.0,,0,0,0.0,0,1,0,64.7,56.5,0,9,0.0,0,30,1,100.0,30,104.2,1,25.0,0,9,5,5.0,9.0,0.3,2,2022
Michael Strachan,143358,WR,IND,1,3,0,14,21.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,80.9,0,23,0.0,0,6,1,100.0,6,118.8,1,33.3,0,23,2,2.0,23.0,3.83,0,18.0,0,0.0,0.0,0,1,,0,0,0,,54.2,0,0,0.0,0,10,0,100.0,10,39.6,1,33.3,0,0,0,,,0.0,2,2022
Randall Cobb,6216,WR,GB,1,3,0,12,20.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,85.8,0,20,0.0,0,4,1,100.0,4,118.8,1,33.3,0,20,0,0.0,20.0,5.0,0,3.5,0,100.0,,0,0,0.0,0,1,0,68.3,76.2,0,9,0.0,0,7,2,100.0,7,102.1,2,66.7,0,17,10,5.0,8.5,2.43,2,2022
Rex Burkhead,7971,HB,HST,1,3,0,13,19.0,0,0.0,,0,0,,0,0,0,,55.1,0,0,20.0,1,5,0,80.0,4,39.6,1,33.3,0,0,0,,,0.0,0,4.0,0,100.0,,0,0,0.0,0,0,0,68.3,58.8,0,5,0.0,0,12,2,100.0,12,85.4,2,66.7,0,9,1,0.5,4.5,0.75,2,2022
Raheem Mostert,9783,HB,MIA,1,3,0,17,,0,,,0,0,,0,0,0,,52.4,0,0,12.5,1,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,-1.7,2,100.0,,0,0,0.0,0,2,0,70.5,80.7,0,13,7.1,1,14,3,92.9,13,105.6,3,100.0,0,28,33,11.0,9.3,2.15,2,2022
DeAndre Carter,9859,WR,LAC,1,3,0,27,,0,,,0,0,,0,0,0,,52.3,0,0,0.0,0,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,100.0,,0,0,0.0,0,1,0,64.7,60.1,0,12,0.0,0,20,1,95.0,19,116.7,1,33.3,0,12,5,5.0,12.0,0.63,2,2022
Jake Kumerow,9883,WR,BUF,1,3,0,4,4.0,0,100.0,,0,0,0.0,0,1,0,64.7,64.9,0,11,0.0,0,10,1,100.0,10,112.5,1,33.3,0,11,7,7.0,11.0,1.1,0,18.0,0,50.0,100.0,1,1,0.0,0,1,0,64.7,63.0,0,39,0.0,0,23,1,95.7,22,95.8,2,66.7,0,39,3,3.0,39.0,1.77,2,2022
Chris Moore,10741,WR,HST,1,3,0,13,,0,,,0,0,,0,0,0,64.7,55.3,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,9.7,0,66.7,0.0,0,1,33.3,1,0,0,29.9,53.7,0,9,0.0,0,18,2,100.0,18,77.1,3,100.0,0,14,4,2.0,7.0,0.78,2,2022
JuJu Smith-Schuster,11817,WR,KC,1,3,0,16,0.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.9,0,4,0.0,0,18,1,94.4,17,83.3,1,33.3,0,4,4,4.0,4.0,0.24,0,2.5,0,100.0,,0,0,0.0,0,0,0,68.3,56.7,0,4,0.0,0,9,2,88.9,8,79.2,2,66.7,0,6,1,0.5,3.0,0.75,2,2022
Jonnu Smith,11855,TE,NE,1,3,0,19,11.0,0,0.0,0.0,0,2,,0,0,0,,50.9,0,0,25.0,3,12,0,75.0,9,39.6,2,66.7,0,0,0,,,0.0,0,-2.0,0,0.0,0.0,0,1,,0,0,0,,54.7,0,0,0.0,0,4,0,100.0,4,39.6,1,33.3,0,0,0,,,0.0,2,2022
James Conner,11860,HB,ARZ,1,3,0,1,9.5,0,50.0,,0,0,0.0,0,1,0,64.7,77.4,0,21,0.0,0,3,1,100.0,3,87.5,2,66.7,0,21,24,24.0,21.0,7.0,0,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.4,0,5,0.0,0,7,1,85.7,6,87.5,1,33.3,0,5,4,4.0,5.0,0.83,2,2022
Josh Reynolds,11872,WR,DET,1,3,0,11,20.0,0,100.0,,0,0,0.0,0,1,0,64.7,75.3,0,23,0.0,0,8,1,100.0,8,118.8,1,33.3,0,23,3,3.0,23.0,2.88,0,5.0,0,100.0,,0,0,0.0,0,1,0,64.7,60.9,0,12,0.0,0,18,1,100.0,18,116.7,1,33.3,0,12,7,7.0,12.0,0.67,2,2022
Isaiah McKenzie,11927,WR,BUF,1,3,0,4,,0,,,0,0,,0,0,0,,54.2,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,0,10.0,1,66.7,,0,0,33.3,1,1,0,29.9,63.0,0,28,0.0,0,14,2,100.0,14,109.0,3,100.0,0,37,4,2.0,18.5,2.64,2,2022
Aaron Jones,11937,HB,GB,1,3,0,12,4.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,90.4,0,15,0.0,0,9,2,88.9,8,154.2,2,66.7,1,23,15,7.5,11.5,2.88,0,-3.0,2,100.0,,0,0,0.0,0,1,0,64.7,64.3,0,15,10.0,1,10,1,90.0,9,118.8,1,33.3,0,15,18,18.0,15.0,1.67,2,2022
Mo Alie-Cox,12078,TE,IND,1,3,0,14,3.0,0,0.0,,0,0,,0,0,0,,53.6,0,0,0.0,0,4,0,100.0,4,39.6,1,33.3,0,0,0,,,0.0,0,8.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.0,0,9,0.0,0,9,1,100.0,9,104.2,1,33.3,0,9,1,1.0,9.0,1.0,2,2022
Johnny Mundt,12206,TE,MIN,1,3,0,18,,0,,,0,0,,0,0,0,,54.4,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,6.0,1,100.0,,0,0,0.0,0,1,0,68.3,64.4,0,17,6.7,1,15,2,93.3,14,118.8,2,66.7,0,28,16,8.0,14.0,2.0,2,2022
Kendrick Bourne,12270,WR,NE,1,3,0,19,9.3,0,66.7,,0,0,0.0,0,2,0,70.5,76.6,0,10,0.0,0,13,2,92.3,12,79.9,3,100.0,0,16,0,0.0,8.0,1.33,0,,0,,,0,0,,0,0,0,,54.2,0,0,0.0,0,10,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0,2,2022
Darrel Williams,13014,HB,ARZ,1,3,0,1,,0,,,0,0,,0,0,0,,50.6,0,0,0.0,0,14,0,78.6,11,0.0,0,0.0,0,0,0,,,0.0,0,-0.3,0,66.7,,0,0,33.3,1,0,0,68.3,59.2,0,2,0.0,0,11,2,90.9,10,70.1,3,100.0,0,3,2,1.0,1.5,0.3,2,2022
K.J. Osborn,23503,WR,MIN,1,3,0,18,10.0,0,0.0,,0,0,,0,0,0,,52.9,0,0,0.0,0,14,0,92.9,13,39.6,1,33.3,0,0,0,,,0.0,0,4.5,1,100.0,,0,0,0.0,0,2,0,68.3,65.7,0,15,0.0,0,22,2,95.5,21,118.8,2,66.7,0,25,16,8.0,12.5,1.19,2,2022
KhaDarel Hodge,26104,WR,ATL,1,3,0,2,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,12.3,1,66.7,50.0,1,2,0.0,0,2,0,68.3,91.2,0,39,0.0,0,4,2,100.0,4,109.7,3,100.0,0,57,26,13.0,28.5,14.25,2,2022
Bennett Skowronek,27948,WR,LA,1,3,0,26,,0,,,0,0,,0,0,0,,51.9,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,0,8.7,0,66.7,,0,0,0.0,0,0,0,68.3,55.5,0,8,0.0,0,19,2,100.0,19,79.9,3,100.0,0,16,12,6.0,8.0,0.84,2,2022
Miles Sanders,40555,HB,PHI,1,3,0,24,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,-2.0,0,100.0,,0,0,0.0,0,0,0,70.5,59.0,0,6,7.7,1,13,3,76.9,10,79.2,3,100.0,0,6,12,4.0,2.0,0.6,2,2022
Reggie Gilliam,40951,FB,BUF,1,3,0,4,,0,,,0,0,,0,0,0,,55.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,14.5,1,50.0,,0,0,0.0,0,0,0,64.7,56.0,0,6,0.0,0,5,1,100.0,5,56.3,2,66.7,0,6,6,6.0,6.0,1.2,2,2022
Ian Thomas,42130,TE,CAR,1,3,0,5,,0,,,0,0,,0,0,0,,54.7,0,0,55.6,5,9,0,33.3,3,0.0,0,0.0,0,0,0,,,0.0,0,10.7,0,33.3,,0,0,0.0,0,1,0,28.8,50.6,0,13,22.2,4,18,1,72.2,13,47.9,3,100.0,0,13,3,3.0,13.0,1.0,2,2022
Tyrie Cleveland,42134,WR,DEN,1,3,0,10,4.5,2,50.0,,0,0,0.0,0,1,0,28.8,56.1,0,16,0.0,0,6,1,83.3,5,77.1,2,66.7,0,16,11,11.0,16.0,3.2,0,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,65.6,0,12,0.0,0,10,1,80.0,8,116.7,1,33.3,0,12,6,6.0,12.0,1.5,2,2022
John Bates,42275,TE,WAS,1,3,0,32,,0,,,0,0,,0,0,0,,54.9,0,0,60.0,3,5,0,40.0,2,0.0,0,0.0,0,0,0,,,0.0,0,5.3,0,66.7,,0,0,0.0,0,0,0,68.3,63.0,0,9,30.0,3,10,2,70.0,7,78.5,3,100.0,0,15,6,3.0,7.5,2.14,2,2022
Nick Chubb,45783,HB,CLV,1,3,0,8,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,100.0,1,1,0.0,0,1,0,70.5,69.8,0,15,0.0,0,12,3,100.0,12,102.8,3,100.0,0,26,29,9.7,8.7,2.17,2,2022
Chase Edmonds,45851,HB,MIA,1,3,0,17,,0,,,0,0,,0,0,0,,55.4,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,0.3,0,33.3,0.0,0,1,0.0,0,0,0,64.7,56.1,0,8,13.3,2,15,1,80.0,12,42.4,3,100.0,0,8,4,4.0,8.0,0.67,2,2022
Foster Moreau,47043,TE,LV,1,3,0,23,,0,,,0,0,,0,0,0,,54.3,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,11.0,0,100.0,,0,0,0.0,0,1,0,64.7,68.6,0,17,27.3,3,11,1,63.6,7,118.8,1,33.3,0,17,6,6.0,17.0,2.43,2,2022
Nick Westbrook-Ikhine,47861,WR,TEN,1,3,0,31,25.0,0,0.0,,0,0,,0,0,0,,56.7,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,5.0,0,0.0,0.0,0,1,,0,0,0,,53.5,1,0,0.0,0,12,0,91.7,11,0.0,1,33.3,0,0,0,,,0.0,2,2022
Allen Lazard,48135,WR,GB,1,3,0,12,6.5,0,100.0,,0,0,0.0,0,2,0,68.3,74.5,0,8,0.0,0,10,2,90.0,9,133.3,2,66.7,1,13,1,0.5,6.5,1.44,0,21.0,0,0.0,0.0,0,1,,0,0,0,,52.7,0,0,0.0,0,15,0,100.0,15,39.6,1,33.3,0,0,0,,,0.0,2,2022
Eno Benjamin,57136,HB,ARZ,1,3,0,1,,0,,,0,0,,0,0,0,,55.4,0,0,33.3,2,6,0,50.0,3,0.0,0,0.0,0,0,0,,,0.0,0,-1.5,1,100.0,,0,0,0.0,0,0,0,68.3,62.3,0,9,12.5,2,16,2,81.3,13,102.1,2,66.7,0,17,20,10.0,8.5,1.31,2,2022
Travis Etienne,57185,HB,JAX,1,3,0,15,,0,,,0,0,,0,0,0,,57.1,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,-3.3,0,100.0,,0,0,0.0,0,2,0,70.5,74.0,0,14,0.0,0,11,3,90.9,10,112.5,3,100.0,0,33,43,14.3,11.0,3.3,2,2022
Noah Gray,60878,TE,KC,1,3,0,16,4.3,0,66.7,,0,0,0.0,0,1,0,68.3,72.7,0,11,27.3,3,11,2,72.7,8,74.3,3,100.0,0,12,6,3.0,6.0,1.5,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,2,2022
Jerry Jeudy,61103,WR,DEN,1,3,0,10,,0,,,0,0,,0,0,0,,57.0,0,0,0.0,0,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,13.0,0,33.3,0.0,0,1,0.0,0,1,0,64.7,72.3,0,11,0.0,0,4,1,100.0,4,45.1,3,100.0,0,11,8,8.0,11.0,2.75,2,2022
Kadarius Toney,61245,WR,NYG,1,3,0,21,,0,,,0,0,,0,0,0,,59.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-2.7,0,66.7,,0,0,33.3,1,0,0,36.2,56.0,0,2,0.0,0,15,2,86.7,13,70.1,3,100.0,0,0,6,3.0,0.0,0.0,2,2022
Christian Watson,66581,WR,GB,1,3,0,12,-4.0,1,100.0,,0,0,0.0,0,0,0,64.7,57.5,0,1,0.0,0,4,1,75.0,3,79.2,1,33.3,0,1,5,5.0,1.0,0.33,0,-2.0,0,100.0,,0,0,0.0,0,0,0,64.7,59.7,0,-1,0.0,0,3,1,100.0,3,79.2,1,33.3,0,-1,1,1.0,-1.0,-0.33,2,2022
Tanner Hudson,66924,TE,NYG,1,3,0,21,2.0,0,100.0,,0,0,0.0,0,1,0,64.7,78.4,0,7,0.0,0,1,1,100.0,1,95.8,1,33.3,0,7,5,5.0,7.0,7.0,0,12.0,0,0.0,,0,0,,0,0,0,,51.7,0,0,15.8,3,19,0,78.9,15,39.6,1,33.3,0,0,0,,,0.0,2,2022
Javonte Williams,77803,HB,DEN,1,3,0,10,6.0,0,0.0,0.0,0,1,,0,0,0,,53.2,0,0,26.7,4,15,0,73.3,11,39.6,1,33.3,0,0,0,,,0.0,0,-1.0,0,50.0,,0,0,0.0,0,1,0,64.7,69.8,0,10,33.3,4,12,1,66.7,8,64.6,2,66.7,0,10,14,14.0,10.0,1.25,2,2022
Kyle Pitts,83964,TE,ATL,1,3,0,2,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,9.0,0,100.0,,0,0,0.0,0,1,0,68.3,59.6,0,13,8.3,2,24,2,83.3,20,106.3,2,66.7,0,19,1,0.5,9.5,0.95,2,2022
Romeo Doubs,84329,WR,GB,1,3,0,12,,0,,,0,0,,0,0,0,,57.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,-0.7,0,66.7,,0,0,0.0,0,0,0,68.3,67.8,0,20,0.0,0,8,2,100.0,8,95.1,3,100.0,0,27,30,15.0,13.5,3.38,2,2022
Kenneth Walker III,97199,HB,SEA,1,3,0,29,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,0.3,0,66.7,,0,0,0.0,0,0,0,68.3,62.4,0,3,20.0,1,5,2,60.0,3,70.1,3,100.0,0,5,9,4.5,2.5,1.67,2,2022
George Pickens,99229,WR,PIT,1,3,0,25,21.0,0,0.0,,0,0,,0,0,0,,52.9,0,0,0.0,0,18,0,94.4,17,39.6,1,33.3,0,0,0,,,0.0,0,21.0,0,100.0,,0,0,0.0,0,1,0,64.7,67.1,0,23,0.0,0,15,1,100.0,15,118.8,1,33.3,0,23,2,2.0,23.0,1.53,2,2022
Justin Watson,66915,WR,KC,1,2,0,16,24.5,0,100.0,,0,0,0.0,0,1,0,68.3,80.0,0,41,0.0,0,6,2,100.0,6,158.3,2,100.0,1,50,1,0.5,25.0,8.33,0,,0,,,0,0,,0,0,0,,59.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2,2022
Cam Sims,47908,WR,WAS,1,2,0,32,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,58.0,0,0.0,,0,0,,0,0,0,,55.4,0,0,0.0,0,4,0,100.0,4,39.6,1,50.0,0,0,0,,,0.0,2,2022
Kenneth Gainwell,77737,HB,PHI,1,2,0,24,,0,,,0,0,,0,0,0,64.7,89.5,0,0,0.0,0,2,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,0.5,1,50.0,,0,0,50.0,1,0,0,28.8,29.5,1,11,11.1,1,9,1,77.8,7,27.1,2,100.0,0,11,10,10.0,11.0,1.57,2,2022
Tony Jones Jr.,40498,HB,NO,1,2,0,20,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,0.0,0,100.0,,0,0,0.0,0,0,0,68.3,55.4,0,7,11.5,3,26,2,80.8,21,91.7,2,100.0,0,12,12,6.0,6.0,0.57,2,2022
Demarcus Robinson,10760,WR,BLT,1,2,0,3,17.5,0,50.0,,0,0,0.0,0,1,0,64.7,72.4,0,12,0.0,0,11,1,100.0,11,108.3,2,100.0,1,12,0,0.0,12.0,1.09,0,,0,,,0,0,,0,0,0,,55.9,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,2,2022
Tyler Boyd,10689,WR,CIN,1,2,0,7,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.3,0,1,0.0,0,8,1,100.0,8,79.2,1,50.0,0,1,0,0.0,1.0,0.13,0,14.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,55.4,0,16,0.0,0,34,1,100.0,34,118.8,1,50.0,0,16,2,2.0,16.0,0.47,2,2022
Darnell Mooney,48236,WR,CHI,1,2,0,6,,0,,,0,0,,0,0,0,,57.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,22.0,0,50.0,,0,0,0.0,0,0,0,64.7,55.8,0,-4,0.0,0,11,1,100.0,11,56.3,2,100.0,0,-4,1,1.0,-4.0,-0.36,2,2022
Jeff Wilson Jr.,29413,HB,SF,1,2,0,28,4.5,0,100.0,100.0,1,1,0.0,0,1,0,68.3,86.8,0,14,0.0,0,3,2,100.0,3,106.3,2,100.0,0,19,10,5.0,9.5,6.33,0,,0,,,0,0,,0,0,0,,54.0,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,2,2022
Bryan Edwards,28486,WR,ATL,1,2,0,2,,0,,,0,0,,0,0,0,,59.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,12.5,0,50.0,0.0,0,1,0.0,0,0,0,64.7,57.8,1,2,0.0,0,6,1,100.0,6,16.7,2,100.0,0,2,1,1.0,2.0,0.33,2,2022
Cade Otton,61071,TE,TB,1,2,0,30,11.0,0,0.0,,0,0,,0,0,0,,50.9,0,0,25.0,1,4,0,75.0,3,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,49.8,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,2,2022
Mark Ingram II,6180,HB,NO,1,2,0,20,-7.0,0,100.0,,0,0,0.0,0,0,0,64.7,65.4,0,0,0.0,0,1,1,100.0,1,79.2,1,50.0,0,0,7,7.0,0.0,0.0,0,-2.0,0,100.0,,0,0,0.0,0,0,0,64.7,60.5,0,3,40.0,4,10,1,60.0,6,79.2,1,50.0,0,3,5,5.0,3.0,0.5,2,2022
Robert Tonyan,12193,TE,GB,1,2,0,12,,0,,,0,0,,0,0,0,,52.1,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.6,0,2,0.0,0,6,1,100.0,6,79.2,1,50.0,0,2,3,3.0,2.0,0.33,2,2022
Alec Ingold,34934,FB,MIA,1,2,0,17,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,1.5,0,100.0,,0,0,0.0,0,1,0,68.3,66.4,0,13,8.3,1,12,2,91.7,11,97.9,2,100.0,0,15,12,6.0,7.5,1.36,2,2022
Ezekiel Elliott,10638,HB,DAL,1,2,0,9,,0,,,0,0,,0,0,0,,52.7,0,0,10.0,1,10,0,70.0,7,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0,0,64.7,56.6,0,-4,0.0,0,10,1,100.0,10,79.2,1,50.0,0,-4,1,1.0,-4.0,-0.4,2,2022
James Robinson,22425,HB,JAX,1,2,0,15,,0,,,0,0,,0,0,0,,57.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,0.5,1,100.0,,0,0,0.0,0,1,0,68.3,65.3,0,10,0.0,0,12,2,91.7,11,95.8,2,100.0,0,14,13,6.5,7.0,1.27,2,2022
