player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week,year
Anthony Barr,8644,LB,DAL,1,0,0,50.0,0,0,9,57.0,53.7,74.2,59.2,54.3,73.8,0,0,0,6.0,0.0,0,0,0,56.3,1,0,23,1,16,35,7,0,0,7,0,0,28,1,18,4,1,2,2,0,0,6,4,6.0,1,2022
Aaron Donald,8648,DI,LA,1,1,0,,0,0,26,60.0,81.7,77.7,90.4,63.5,69.2,0,3,0,,0.0,0,0,0,0.0,0,1,0,0,0,50,50,0,16,6,28,0,0,34,16,0,1,0,0,4,0,0,0,,1,2022
Kyle Fuller,8649,CB,BLT,1,0,0,60.0,0,0,3,61.0,55.3,79.1,59.1,30.0,53.1,0,0,0,12.0,25.0,1,0,1,71.3,3,0,6,54,61,80,4,0,0,4,0,0,76,1,18,16,0,3,5,0,0,23,0,7.7,1,2022
C.J. Mosley,8652,LB,NYJ,1,5,0,80.0,0,0,22,57.2,54.6,75.4,53.3,56.4,64.8,0,1,0,15.0,8.3,1,0,0,98.3,4,0,53,0,32,56,2,0,0,2,0,0,54,3,21,1,3,6,5,1,0,38,26,9.5,1,2022
Bradley Roby,8666,CB,NO,1,0,0,75.0,0,0,20,51.6,52.7,77.7,,57.8,63.9,0,0,0,18.0,14.3,1,1,0,101.0,6,0,6,66,39,75,0,0,0,0,0,0,75,0,36,3,1,6,8,0,0,70,10,11.7,1,2022
Demarcus Lawrence,8669,ED,DAL,1,2,0,,0,0,9,60.1,69.2,78.8,52.7,78.1,73.1,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,2,37,36,0,0,30,6,0,1,21,14,0,1,2,0,0,0,0,0,,1,2022
Kyle Van Noy,8675,ED,LAC,1,1,0,100.0,0,0,27,50.8,60.2,74.1,61.8,72.6,76.8,0,0,0,18.0,0.0,0,0,0,158.3,1,0,20,1,16,28,7,0,0,7,0,0,21,7,5,0,1,2,1,0,1,18,2,18.0,1,2022
Lamarcus Joyner,8676,S,NYJ,1,0,0,100.0,0,0,22,29.6,29.1,76.1,,62.4,75.2,0,0,0,55.0,0.0,0,0,1,158.3,1,0,14,0,35,56,0,0,0,0,0,33,56,0,21,9,0,1,1,0,1,55,5,55.0,1,2022
Christian Kirksey,8706,LB,HST,1,6,0,100.0,0,0,13,58.2,59.4,79.0,61.1,60.1,82.2,1,1,0,12.0,0.0,0,0,0,94.4,3,0,87,0,49,92,0,0,0,0,0,1,92,7,36,4,2,3,3,2,0,20,14,6.7,1,2022
Justin Ellis,8742,DI,NYG,1,0,0,,0,0,21,,37.4,74.8,54.7,40.8,67.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,18,18,7,11,0,0,0,0,9,9,0,1,1,0,0,0,0,0,,1,2022
