player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year
Geno Smith,7820,QB,SEA,1,82.8,29,30,5.4,2.66,0,1,3.1,80.0,24,0,14,0.0,32,0,10,29,78.6,58.1,61.0,49.9,0,1,34,1,14.3,80.1,6.3,2,0,0,1,0,2,5.9,197,6.6,2,2022
Baker Mayfield,46518,QB,CAR,1,57.7,26,29,8.1,3.21,1,0,0.0,48.3,14,0,14,6.7,36,1,8,5,79.1,48.8,48.6,57.4,0,0,40,0,14.3,74.6,5.6,2,5,0,2,1,1,2.5,145,5.0,2,2022
Lamar Jackson,46416,QB,BLT,1,82.1,28,29,11.6,2.66,1,2,6.3,72.4,21,0,8,8.7,31,2,15,3,29.3,66.4,68.8,59.3,0,0,34,1,0.0,142.6,0.0,0,2,0,0,3,1,2.9,318,11.0,2,2022
Jacoby Brissett,10725,QB,CLV,1,85.2,27,27,6.6,2.93,0,1,3.6,81.5,22,0,9,4.3,32,1,17,8,78.4,83.2,79.1,72.6,0,1,33,0,11.1,98.9,3.1,1,4,0,0,1,1,3.0,229,8.5,2,2022
Marcus Mariota,9435,QB,ATL,1,75.0,24,26,8.4,3.19,1,1,3.4,65.4,17,0,12,5.6,32,1,12,2,27.8,60.5,61.3,55.8,0,2,35,0,25.0,81.6,9.4,3,3,0,1,2,2,5.7,196,7.5,2,2022
Aaron Rodgers,2241,QB,GB,1,82.6,23,25,5.6,2.64,0,2,7.7,76.0,19,0,8,0.0,29,0,10,12,78.1,83.5,84.2,58.9,0,0,30,0,37.5,131.1,10.3,3,1,0,2,2,0,0.0,234,9.4,2,2022
Jimmy Garoppolo,8697,QB,SF,1,73.7,19,21,8.2,2.25,2,1,4.0,61.9,13,0,5,7.1,22,1,7,28,77.7,66.5,65.4,61.6,0,0,26,0,20.0,100.1,4.5,1,0,0,0,1,0,0.0,154,7.3,2,2022
Ryan Tannehill,7014,QB,TEN,1,61.1,18,20,8.4,2.45,0,0,0.0,55.0,11,0,10,0.0,22,0,6,31,76.4,44.1,41.8,62.6,2,2,24,0,20.0,32.7,9.1,2,0,0,0,0,2,8.3,117,5.9,2,2022
Justin Fields,82118,QB,CHI,1,72.7,11,11,10.8,3.4,0,0,0.0,63.6,7,0,9,12.5,17,1,3,6,24.3,40.8,50.6,44.4,0,1,17,1,33.3,43.7,17.6,3,3,0,0,0,1,5.9,70,6.4,2,2022
Malik Willis,60341,QB,TEN,1,33.3,3,4,7.7,3.7,0,0,0.0,25.0,1,0,4,0.0,6,0,1,31,17.9,39.7,48.0,46.3,0,0,6,0,0.0,39.6,0.0,0,2,0,1,0,0,0.0,6,1.5,2,2022
