player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year
Joey Slye,39235,K,WAS,1,0,0,0,,0,0,,32,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,,1,2022
Eddy Pineiro,44140,K,CAR,1,0,0,0,,0,0,,5,73.2,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,,1,2022
Justin Reid,49048,S,KC,1,0,0,0,,0,0,,16,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,,1,2022
Riley Patterson,57556,K,JAX,1,0,0,0,,2,2,100.0,15,53.2,0,0,,1,1,100.0,0,2,1,50.0,4,3,75.0,0,0,,1,2022
Matt Gay,57643,K,LA,1,0,1,1,100.0,0,0,,26,74.9,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,,1,2022
Evan McPherson,82583,K,CIN,1,0,1,1,100.0,0,0,,7,53.2,0,0,,1,0,0.0,0,0,0,,3,2,66.7,2,1,50.0,1,2022
Cade York,98975,K,CLV,1,0,1,1,100.0,0,0,,8,86.1,0,0,,2,2,100.0,0,2,2,100.0,4,4,100.0,1,1,100.0,1,2022
Robbie Gould,2607,K,SF,1,0,0,0,,0,0,,28,64.5,0,0,,3,3,100.0,0,1,1,100.0,3,2,66.7,2,1,50.0,2,2022
Matt Prater,3471,K,ARZ,1,0,0,0,,0,0,,1,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2,2022
Nick Folk,3794,K,NE,1,0,1,0,0.0,0,0,,19,51.5,0,0,,2,2,100.0,0,0,0,,2,1,50.0,1,1,100.0,2,2022
Mason Crosby,3809,K,GB,1,0,0,0,,1,1,100.0,12,65.8,0,0,,3,3,100.0,0,0,0,,2,2,100.0,1,1,100.0,2,2022
Ryan Succop,5180,K,TB,1,0,0,0,,2,2,100.0,30,70.3,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,2,2022
Graham Gano,5443,K,NYG,1,0,2,2,100.0,0,0,,21,86.9,0,0,,1,1,100.0,0,2,2,100.0,4,4,100.0,0,0,,2,2022
Randy Bullock,7154,K,TEN,1,0,0,0,,0,0,,31,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2,2022
Greg Zuerlein,7163,K,NYJ,1,0,1,1,100.0,0,0,,22,76.7,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,,2,2022
Justin Tucker,7604,K,BLT,1,0,1,1,100.0,0,0,,3,77.4,0,0,,5,5,100.0,0,0,0,,1,1,100.0,0,0,,2,2022
