player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year
Brock Wright,60994,TE,DET,1,0,11,72.7,0,0,2,25.0,25.0,100.0,0,0,0,2,8,,0,0,0,0.0,0.0,,0,0,0,3,1,2022
Kenyan Drake,10707,HB,BLT,1,0,3,77.9,0,0,2,11.8,11.8,100.0,0,0,0,2,17,,0,0,0,0.0,0.0,,0,0,0,7,1,2022
Foster Moreau,47043,TE,LV,1,0,23,72.0,0,0,2,16.7,16.7,100.0,0,0,0,2,12,,0,0,0,0.0,0.0,,0,0,0,4,1,2022
Noah Togiai,47282,TE,PHI,1,0,24,20.4,0,1,2,50.0,50.0,75.0,0,1,0,2,4,,0,0,0,,,,0,0,0,0,1,2022
Daniel Bellinger,84041,TE,NYG,1,0,21,71.3,0,0,2,22.2,22.2,100.0,0,0,0,2,9,,0,0,0,0.0,0.0,,0,0,0,3,1,2022
Brandon Bolden,7469,HB,LV,1,0,23,72.3,0,0,2,15.4,15.4,100.0,0,0,0,2,13,68.5,0,0,1,10.0,10.0,100.0,0,0,1,10,1,2022
Darren Waller,9637,TE,LV,1,0,23,21.3,0,0,1,2.8,5.3,0.0,0,1,1,2,38,,0,0,0,0.0,0.0,,0,0,0,23,1,2022
Maxx Williams,9488,TE,ARZ,1,0,1,25.5,0,1,2,50.0,50.0,75.0,0,1,0,2,4,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Matt Breida,12271,HB,NYG,1,0,21,45.4,0,0,2,40.0,40.0,100.0,0,0,0,2,5,,0,0,0,0.0,0.0,,0,0,0,2,1,2022
Michael Dunn,39676,G,CLV,1,0,8,72.9,0,0,2,50.0,50.0,100.0,0,0,0,2,4,,0,0,0,,,,0,0,0,0,1,2022
Boston Scott,39462,HB,PHI,1,0,24,77.0,0,0,2,25.0,25.0,100.0,0,0,0,2,8,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Melvin Gordon III,9448,HB,DEN,1,0,10,78.4,0,0,1,7.1,13.3,100.0,0,0,0,2,15,78.4,0,0,1,14.3,25.0,100.0,0,0,2,8,1,2022
Charlie Heck,36501,T,HST,1,0,13,71.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,,0,0,0,,,,0,0,0,0,1,2022
Austin Ekeler,12164,HB,LAC,1,0,27,26.3,0,0,2,12.5,12.5,100.0,0,0,0,2,16,,0,0,0,0.0,0.0,,0,0,0,5,1,2022
Ryan Griffin,7982,TE,CHI,1,0,6,72.5,0,0,2,16.7,16.7,100.0,0,0,0,2,12,,0,0,0,0.0,0.0,,0,0,0,3,1,2022
Zach Gentry,36049,TE,PIT,1,0,25,0.0,0,1,2,28.6,28.6,75.0,0,1,0,2,7,0.0,0,1,1,50.0,50.0,50.0,1,0,1,2,1,2022
Dan Arnold,51842,TE,JAX,1,0,15,16.8,0,1,2,33.3,33.3,75.0,0,1,0,2,6,,0,0,0,,,,0,0,0,0,1,2022
Tory Carter,57063,FB,TEN,1,0,31,70.1,0,0,2,50.0,50.0,100.0,0,0,0,2,4,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Albert Okwuegbunam,41933,TE,DEN,1,0,10,72.1,0,0,2,5.7,5.4,100.0,0,0,0,2,37,,0,0,0,0.0,0.0,,0,0,0,17,1,2022
Jakob Johnson,32565,FB,LV,1,0,23,75.3,0,0,2,33.3,33.3,100.0,0,0,0,2,6,,0,0,0,0.0,0.0,,0,0,0,1,1,2022
Javonte Williams,77803,HB,DEN,1,0,10,17.1,1,0,2,6.7,6.5,75.0,0,1,0,2,31,72.4,0,0,1,8.3,7.7,100.0,0,0,1,13,1,2022
Aaron Jones,11937,HB,GB,1,0,12,73.0,0,0,1,3.4,3.4,100.0,0,0,0,1,29,,0,0,0,0.0,0.0,,0,0,0,11,1,2022
