player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles,week,year
Rashad Weaver,42495,ED,TEN,1,0,,0,0,31,34.6,46.6,80.6,63.4,51.6,20.2,100.0,2,0,20,20,0.0,0,0,2,2022
Keir Thomas,42509,ED,LA,1,0,,0,0,26,,47.4,66.9,58.7,56.9,25.0,100.0,1,0,1,1,0.0,0,0,2,2022
Chris Jackson,42512,CB,TEN,1,0,,0,0,31,50.3,36.2,0.0,,56.4,72.5,,0,1,3,3,0.0,0,0,2,2022
Chauncey Golston,42718,DI,DAL,1,0,,0,0,9,,40.7,74.9,55.4,43.9,,,0,0,10,10,0.0,0,0,2,2022
Nick Bosa,42741,ED,SF,1,0,3.0,0,0,28,60.0,89.6,79.8,90.2,58.9,73.9,0.0,0,0,10,10,10.0,1,2,2,2022
Osa Odighizuwa,42754,DI,DAL,1,1,2.0,0,0,9,,54.9,76.4,61.2,50.5,68.4,0.0,0,0,10,11,10.0,1,1,2,2022
J.C. Jackson,42781,CB,LAC,1,0,,0,0,27,36.8,40.1,76.2,,63.9,53.9,,0,0,18,18,0.0,0,0,2,2022
Shaka Toney,42806,ED,WAS,1,0,,0,0,32,61.0,77.8,71.0,66.0,64.5,,,0,0,3,3,0.0,0,0,2,2022
Terrell Lewis,42845,ED,LA,1,2,3.0,0,0,26,80.1,81.5,76.0,68.6,67.1,78.7,0.0,0,0,14,14,7.1,1,1,2,2022
Avery Williams,42873,HB,ATL,1,0,,0,0,2,,59.9,60.0,,60.0,,,0,0,1,1,0.0,0,0,2,2022
Rashan Gary,42905,ED,GB,1,0,-5.0,0,0,12,,59.0,77.2,64.3,53.1,34.3,50.0,1,0,19,19,5.3,1,1,2,2022
Jonathon Cooper,43021,ED,DEN,1,0,,0,0,10,60.0,58.1,69.2,56.9,60.0,,,0,0,1,1,0.0,0,0,2,2022
Charvarius Ward,43034,CB,SF,1,3,,0,0,28,64.0,67.5,76.4,58.7,75.7,81.6,0.0,0,0,14,14,0.0,0,0,2,2022
Brandon Jones,43049,S,MIA,1,0,0.0,0,0,17,54.2,46.5,75.1,53.8,46.6,80.4,0.0,0,1,11,12,9.1,1,1,2,2022
Devin White,43089,LB,TB,1,1,4.0,0,0,30,90.2,68.7,0.0,62.5,36.2,31.2,37.5,3,1,19,19,10.5,2,4,2,2022
Jeremy Chinn,43179,S,CAR,1,0,1.0,0,0,5,62.6,62.2,77.5,,56.2,53.9,50.0,1,0,27,27,3.7,1,1,2,2022
Mack Wilson,43190,LB,NE,1,1,3.0,0,0,19,61.7,67.5,72.8,,68.4,28.7,0.0,0,0,19,19,0.0,0,1,2,2022
Richie Grant,43196,S,ATL,1,1,5.0,0,0,2,59.9,63.3,76.2,60.0,67.2,57.7,0.0,0,0,26,26,3.8,1,3,2,2022
Damar Hamlin,43291,S,BUF,1,0,,0,0,4,60.8,62.7,70.9,,60.0,,,0,0,7,8,0.0,0,0,2,2022
Myles Bryant,43336,CB,NE,1,1,5.0,0,0,19,73.2,76.7,76.0,58.0,82.0,81.5,0.0,0,0,13,13,0.0,0,1,2,2022
Josh Metellus,43395,S,MIN,1,0,10.0,0,0,18,60.9,65.0,69.7,,62.8,39.9,50.0,1,0,7,7,0.0,0,1,2,2022
Alex Highsmith,43507,ED,PIT,1,0,-2.0,0,0,25,74.3,73.8,79.4,60.4,71.0,74.0,0.0,0,0,23,23,4.3,1,1,2,2022
Jeffery Simmons,43742,DI,TEN,1,0,,0,0,31,60.0,72.5,77.5,76.9,61.3,23.0,,0,0,9,9,0.0,0,0,2,2022
Derrick Brown,43883,DI,CAR,1,0,1.5,0,0,5,,78.1,78.1,64.0,77.7,28.3,33.3,1,0,20,20,10.0,2,2,2,2022
Timmy Horne,43918,DI,ATL,1,0,,0,0,2,59.8,42.5,74.9,52.8,46.3,,,0,0,7,7,0.0,0,0,2,2022
Patrick Jones II,43974,ED,MIN,1,0,-2.0,0,0,18,61.2,62.5,74.8,52.5,66.5,69.9,0.0,0,0,8,8,12.5,1,1,2,2022
Byron Murphy Jr.,44027,CB,ARZ,1,0,,0,0,1,73.0,72.3,79.3,60.0,63.7,72.5,,0,0,20,23,0.0,0,0,2,2022
Benito Jones,44035,DI,DET,1,1,,0,0,11,,52.7,74.9,49.6,62.0,26.0,0.0,0,0,4,4,0.0,0,0,2,2022
Adetokunbo Ogundeji,44047,ED,ATL,1,1,3.0,0,0,2,47.9,42.5,0.0,67.9,50.0,75.8,0.0,0,1,13,13,15.4,2,2,2,2022
Julian Okwara,44152,ED,DET,1,0,1.0,0,0,11,46.9,62.3,78.6,62.1,71.3,27.1,0.0,0,0,5,5,20.0,1,1,2,2022
Quinnen Williams,44216,DI,NYJ,1,0,3.3,0,0,22,,57.9,76.4,58.7,57.3,27.8,25.0,1,0,17,18,11.8,2,3,2,2022
Jamir Jones,44287,ED,PIT,1,0,16.0,0,0,25,,68.6,71.2,65.9,61.4,69.9,0.0,0,0,3,3,0.0,0,1,2,2022
Justin Madubuike,44304,DI,BLT,1,1,1.0,0,0,3,53.1,76.6,77.2,79.5,71.0,28.2,0.0,0,0,10,10,0.0,0,1,2,2022
Boogie Basham,44320,ED,BUF,1,2,,0,0,4,60.0,89.4,76.7,84.9,71.9,70.2,0.0,0,0,10,10,0.0,0,0,2,2022
Naquan Jones,44363,DI,TEN,1,1,2.5,0,0,31,,59.7,75.1,56.5,60.1,72.0,0.0,0,0,17,17,17.6,3,4,2,2022
Kyzir White,44485,LB,PHI,1,0,4.0,0,0,24,60.6,56.5,74.4,51.8,54.6,58.3,0.0,0,0,6,6,33.3,2,2,2,2022
Rashard Lawrence,44515,DI,ARZ,1,0,-2.0,0,0,1,,59.9,76.8,52.4,64.0,69.5,0.0,0,0,13,15,15.4,2,2,2,2022
Trysten Hill,44519,DI,DAL,1,0,,0,0,9,,37.3,73.1,56.5,44.5,,,0,0,5,5,0.0,0,0,2,2022
Brian Burns,44522,ED,CAR,1,0,,0,0,5,65.0,66.8,81.9,57.5,71.4,48.6,,0,0,17,17,0.0,0,0,2,2022
Ross Blacklock,44526,DI,MIN,1,0,,0,0,18,,32.2,70.7,59.2,46.7,,,0,0,3,3,0.0,0,0,2,2022
D.J. Wonnum,44550,ED,MIN,1,1,,0,0,18,60.0,48.7,75.9,65.3,47.1,72.8,0.0,0,0,10,10,0.0,0,0,2,2022
Raekwon Davis,44582,DI,MIA,1,2,6.0,0,0,17,60.0,60.8,75.3,61.0,61.3,71.3,0.0,0,0,16,17,0.0,0,1,2,2022
Jonah Williams,44597,DI,LA,1,0,,0,0,26,,29.0,70.7,56.7,40.2,,,0,0,3,3,0.0,0,0,2,2022
Leki Fotu,44614,DI,ARZ,1,0,,0,0,1,,66.9,75.0,52.2,72.3,,,0,0,8,9,0.0,0,0,2,2022
Jordan Fuller,45326,S,LA,1,1,5.0,0,0,26,62.7,66.9,73.2,,69.3,63.4,0.0,0,0,11,12,0.0,0,2,2,2022
Zech McPhearson,45464,CB,PHI,1,0,,0,0,24,82.3,81.7,72.1,,60.0,,,0,0,1,1,0.0,0,0,2,2022
Kentavius Street,48404,DI,NO,1,0,-1.0,0,0,20,,47.5,76.2,49.4,53.0,26.3,50.0,1,0,16,16,6.3,1,1,2,2022
Anthony Nelson,48405,ED,TB,1,0,,0,0,30,59.3,46.7,77.0,55.2,49.2,28.3,100.0,1,0,4,4,0.0,0,0,2,2022
Jonathan Greenard,48407,ED,HST,1,0,,0,0,13,,69.5,80.8,72.4,56.8,69.6,,0,0,15,16,0.0,0,0,2,2022
Michael Danna,48415,ED,KC,1,0,,0,0,16,59.3,68.8,78.5,71.9,59.6,,,0,0,13,13,0.0,0,0,2,2022
James Smith-Williams,48455,ED,WAS,1,0,,0,0,32,60.0,51.5,79.5,59.7,41.6,69.9,,0,0,16,16,0.0,0,0,2,2022
Sam Hubbard,48457,ED,CIN,1,0,3.0,0,0,7,82.6,75.1,80.5,55.1,61.1,73.1,0.0,0,0,20,20,5.0,1,1,2,2022
Tyquan Lewis,48475,DI,IND,1,0,0.0,0,0,14,,52.8,78.1,60.1,50.3,68.7,0.0,0,0,20,21,10.0,2,2,2,2022
Justin Hollins,48498,ED,LA,1,0,-0.3,0,0,26,60.0,65.1,75.5,61.4,63.1,50.1,0.0,0,0,12,13,16.7,2,3,2,2022
Carl Granderson,48500,ED,NO,1,1,0.5,0,0,20,,72.6,77.7,56.1,76.2,73.0,0.0,0,0,11,11,18.2,2,2,2,2022
Chase Winovich,48523,ED,CLV,1,0,10.0,0,0,8,60.0,42.4,78.8,47.6,65.6,69.6,0.0,0,0,4,5,0.0,0,1,2,2022
Bradley Chubb,48526,ED,DEN,1,0,,0,0,10,60.0,61.9,77.1,63.7,53.7,,100.0,1,0,12,12,0.0,0,0,2,2022
Oshane Ximines,48538,ED,NYG,1,0,,0,0,21,78.2,66.1,77.1,55.4,60.6,73.6,,0,0,6,6,0.0,0,0,2,2022
Dorance Armstrong,48557,ED,DAL,1,0,,0,0,9,62.0,63.1,75.6,71.1,46.6,71.5,,0,0,1,2,0.0,0,0,2,2022
Malik Reed,48567,ED,PIT,1,2,5.5,0,0,25,61.3,67.7,79.0,65.4,62.3,75.5,0.0,0,0,19,19,5.3,1,2,2,2022
Roy Lopez,48676,DI,HST,1,0,4.0,0,0,13,,66.5,77.6,62.0,64.5,66.8,0.0,0,0,15,16,6.7,1,1,2,2022
Harrison Phillips,48690,DI,MIN,1,0,6.0,0,0,18,,49.9,77.0,57.8,48.0,68.4,0.0,0,0,20,20,0.0,0,1,2,2022
Daron Payne,48698,DI,WAS,1,2,2.3,0,0,32,,56.9,78.3,68.5,44.0,72.0,0.0,0,0,21,21,14.3,3,3,2,2022
Greg Gaines,48706,DI,LA,1,2,1.0,0,0,26,,64.7,78.5,52.0,69.3,33.1,0.0,0,0,18,20,11.1,2,2,2,2022
Rasheem Green,48731,ED,HST,1,0,1.5,0,0,13,,66.6,80.4,64.6,61.9,74.0,0.0,0,0,19,20,10.5,2,2,2,2022
Taven Bryan,48753,DI,CLV,1,0,-1.0,0,0,8,,65.2,84.5,60.4,64.6,26.3,50.0,1,0,13,14,7.7,1,1,2,2022
Michael Dogbe,48850,DI,ARZ,1,0,,0,0,1,,32.0,0.0,54.9,48.5,,,0,1,8,9,0.0,0,0,2,2022
Poona Ford,48875,DI,SEA,1,0,4.0,0,0,29,,41.7,78.3,49.0,45.2,69.2,0.0,0,0,37,39,2.7,1,2,2,2022
Daniel Wise,48922,DI,WAS,1,0,1.0,0,0,32,,69.8,71.9,55.5,69.9,69.6,0.0,0,0,4,4,25.0,1,1,2,2022
Justin Jones,48940,DI,CHI,1,2,2.2,0,0,6,60.0,77.0,77.3,59.6,75.7,72.3,0.0,0,0,25,26,12.0,3,5,2,2022
Vita Vea,48956,DI,TB,1,1,,0,0,30,60.0,59.0,76.9,65.8,53.4,68.9,0.0,0,0,16,16,0.0,0,0,2,2022
Kevin Strong Jr.,48981,DI,TEN,1,1,3.0,0,0,31,,49.3,76.5,52.8,52.1,68.4,0.0,0,0,15,15,6.7,1,1,2,2022
Kendal Vickers,48993,DI,LV,1,1,1.5,0,0,23,59.1,64.4,78.0,62.5,63.8,70.7,0.0,0,0,14,15,7.1,1,2,2,2022
Nick Scott,49012,S,LA,1,0,11.0,0,0,26,59.5,66.0,76.8,,74.8,77.4,0.0,0,0,21,23,0.0,0,1,2,2022
Justin Reid,49048,S,KC,1,0,8.0,0,0,16,62.0,65.6,78.0,59.1,70.1,47.9,0.0,0,0,23,23,0.0,0,1,2,2022
Jalen Thompson,49116,S,ARZ,1,0,4.2,0,0,1,60.3,65.4,75.1,,72.0,84.5,0.0,0,1,20,23,10.0,2,5,2,2022
Ryan Neal,49132,S,SEA,1,0,,0,0,29,,61.7,68.8,,60.3,,,0,0,4,4,0.0,0,0,2,2022
Myles Hartsfield,49159,CB,CAR,1,0,15.0,0,0,5,64.8,66.7,76.6,60.0,67.4,77.3,0.0,0,0,22,22,0.0,0,1,2,2022
Jessie Bates III,49162,S,CIN,1,0,17.0,0,0,7,49.4,48.2,76.1,,58.2,79.3,0.0,0,0,24,24,0.0,0,1,2,2022
Jordan Whitehead,49196,S,NYJ,1,1,9.3,0,0,22,53.9,35.5,75.4,,29.1,27.8,42.9,3,0,33,34,3.0,1,3,2,2022
Ronnie Harrison,49206,S,CLV,1,1,,0,0,8,45.6,47.2,71.8,57.3,60.2,73.0,0.0,0,0,6,6,0.0,0,0,2,2022
Rashad Fenton,49329,CB,KC,1,0,,2,0,16,50.7,53.6,77.9,58.8,67.0,64.4,,0,3,22,22,0.0,0,0,2,2022
Carlton Davis,49335,CB,TB,1,0,6.0,0,0,30,46.0,44.5,77.0,54.6,46.6,61.6,50.0,1,1,19,19,0.0,0,1,2,2022
Kindle Vildor,49346,CB,CHI,1,1,,0,0,6,50.7,49.2,0.0,,68.8,75.1,0.0,0,2,21,22,0.0,0,0,2,2022
Chandon Sullivan,49349,CB,MIN,1,1,8.5,0,0,18,60.0,62.9,75.9,58.0,69.5,84.7,0.0,0,0,26,26,0.0,0,2,2,2022
Jaire Alexander,49350,CB,GB,1,0,7.3,0,0,12,86.2,78.9,76.1,,58.6,37.9,25.0,1,0,24,24,4.2,1,3,2,2022
Ugo Amadi,49352,CB,TEN,1,0,,0,0,31,62.2,56.2,71.4,60.0,50.0,22.8,100.0,1,0,6,6,0.0,0,0,2,2022
Isaac Yiadom,49355,CB,HST,1,0,,0,0,13,,60.0,66.5,,60.0,,,0,0,2,2,0.0,0,0,2,2022
Chauncey Gardner-Johnson,49371,S,PHI,1,0,10.0,0,0,24,44.4,44.2,80.2,57.1,66.5,56.0,0.0,0,0,9,9,11.1,1,2,2,2022
Donte Jackson,49377,CB,CAR,1,0,,0,0,5,73.9,73.5,76.5,,62.1,75.4,,0,0,10,10,0.0,0,0,2,2022
Donovan Wilson,49408,S,DAL,1,1,0.0,0,0,9,69.4,58.8,0.0,57.4,44.9,47.1,40.0,2,1,22,23,9.1,2,2,2,2022
Julian Blackmon,49434,S,IND,1,0,,0,0,14,75.1,74.6,79.3,,56.2,77.5,,0,0,32,34,0.0,0,0,2,2022
Keion Crossen,49454,CB,MIA,1,0,,0,0,17,39.5,41.6,74.2,,60.0,72.5,,0,0,5,5,0.0,0,0,2,2022
Taron Johnson,49511,CB,BUF,1,0,3.5,0,0,4,74.5,67.4,74.8,59.1,45.3,79.5,0.0,0,0,15,15,13.3,2,2,2,2022
Denzel Ward,49558,CB,CLV,1,0,,0,0,8,43.7,40.4,77.4,58.5,33.5,25.9,100.0,1,0,18,20,0.0,0,0,2,2022
Rock Ya-Sin,49564,CB,LV,1,0,,0,0,23,63.2,64.1,78.4,,64.9,72.5,,0,1,26,27,0.0,0,0,2,2022
Zach Allen,49605,DI,ARZ,1,1,0.0,0,0,1,,89.9,77.7,77.1,83.9,70.5,0.0,0,0,17,19,5.9,1,1,2,2022
